nombre,institucion,tipo_beca,monto,fecha_inicio,fecha_cierre,rsh_maximo,nem_minimo,regiones,descripcion,descripcion_larga,url,documentos_requeridos
Beca Municipal de Educacion Superior Lonquimay,Municipalidad de Lonquimay,Beca de Mantencion Municipal,$250.000 anuales,2026-03-10,2026-03-30,70,5.0,IX,Beca DIDECO Lonquimay de $250.000. Zona precordillerana. Puntaje extra rural.,Aporte de $250.000 para zonas precordilleranas de dificil acceso. RSH 70%. Puntaje extra a estudiantes de sectores rurales aislados con mayores gastos de traslado.,https://munilonquimay.cl/,[OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Certificado de notas 2025; [OBLIGATORIO] Certificado de Residencia emitido por JJVV del sector rural
Beca Estudiantil Municipalidad de Melipeuco,Municipalidad de Melipeuco,Beca de Mantencion Municipal,$150.000 en cuota unica por transferencia,2026-03-01,2026-04-15,60,5.0,IX,Beca DIDECO Melipeuco de $150.000. RSH 60%. Resultados 15 abr.,Aporte de $150.000 en cuota unica. RSH 60%. Promedio 5.0. Resultados publicados 15 abril.,https://munimelipeuco.cl/,[OBLIGATORIO] Formulario DIDECO; [OBLIGATORIO] Fotocopia de Cedula de Identidad; [OBLIGATORIO] Certificado de Alumno Regular
Beca Municipal Educacion Superior Tolten,Municipalidad de Tolten,Beca de Mantencion Municipal,$200.000 en 1 cuota (120 cupos),2026-03-01,2026-03-31,60,5.0,IX,Beca DIDECO Tolten de $200.000. 120 cupos. Incompatible beca Mineduc.,Monto de $200.000 en una cuota con 120 cupos. Residencia en Tolten. Incompatible con becas de mantencion Mineduc superiores al tope de ordenanza anual.,https://munitolten.cl/,[OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Concentracion de notas; [OBLIGATORIO] Cartola RSH
Beca Municipal Los Sauces,Municipalidad de Los Sauces,Beca de Mantencion Municipal,$100.000 via BancoEstado,2026-03-01,2026-03-31,60,5.0,IX,Beca DIDECO Los Sauces de $100.000. 80% asignaturas aprobadas.,Pago de $100.000 via BancoEstado. 80% de asignaturas inscritas aprobadas el ano anterior.,https://munilossauces.cl/,[OBLIGATORIO] Certificado de avance curricular; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Cartola RSH
Beca de Educacion Superior Municipalidad de Lumaco,Municipalidad de Lumaco,Beca de Mantencion Municipal,$150.000 anuales,2026-03-01,2026-03-31,70,5.0,IX,Beca DIDECO Lumaco de $150.000. Prioridad Pichi-Lumaco y Capitan Pastene.,Aporte de $150.000. RSH 70%. Prioridad absoluta a estudiantes de Pichi-Lumaco y Capitan Pastene. Deben salir de la comuna para carreras presenciales.,https://munilumaco.cl/,[OBLIGATORIO] Certificado de Residencia; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Concentracion de notas
Programa Beca Estudiantil Educacion Superior,Municipalidad de Curarrehue,Beca de Mantencion Municipal,$150.000 anuales,2026-03-01,2026-03-31,60,5.0,IX,Beca DIDECO Curarrehue de $150.000. Ficha socioeconomica.,Monto de $150.000 anuales. Ficha socioeconomica DIDECO. Promedio 5.0.,https://curarrehue.cl/,[OBLIGATORIO] Ficha socioeconomica DIDECO; [OBLIGATORIO] Alumno Regular; [OBLIGATORIO] Notas
Beca Municipal Puerto Saavedra,Municipalidad de Saavedra,Beca de Mantencion Municipal,$200.000 anuales,2026-03-01,2026-03-31,60,5.0,IX,Beca DIDECO Puerto Saavedra de $200.000. Sectores costeros. Cuenta RUT activa.,Monto de $200.000 para residentes de la comuna y sectores costeros. RSH 60%. Promedio 5.0. No becas estatales que cubran 100% mantencion. Cuenta RUT activa.,https://municipalidadsaavedra.cl/,[OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Notas; [OBLIGATORIO] Cuenta RUT activa
Beca Estudiantil Municipal Melipeuco,Municipalidad de Melipeuco,Beca de Mantencion Municipal,$150.000 anuales,2026-03-01,2026-03-31,60,5.0,IX,Beca DIDECO Melipeuco de $150.000. Solo pregrado. RSH 60%.,Monto de $150.000. RSH 60%. Promedio 5.0. Solo carreras de pregrado. no diplomados.,https://munimelipeuco.cl/,[OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Alumno Regular; [OBLIGATORIO] Concentracion de notas del ano anterior
Beca de Educacion Superior Teodoro Schmidt,Municipalidad de Teodoro Schmidt,Beca de Mantencion Municipal,Aporte anual de libre disposicion (180 alumnos),2026-03-01,2026-06-30,70,5.0,IX,Beca DIDECO Teodoro Schmidt. 180 alumnos. Ceremonia adjudicacion junio.,Aporte de libre disposicion con pto 2026 incrementado para 180 alumnos. Ues o CFT. RSH 70%. Promedio 5.0. Ceremonia en junio.,https://muniteodoro.cl/,[OBLIGATORIO] Alumno regular; [OBLIGATORIO] Notas (promedio 5.0 minimo); [OBLIGATORIO] Fotocopia de Cuenta RUT
Beca de Educacion Superior Cholchol,Municipalidad de Cholchol,Beca de Mantencion Municipal,$200.000 anuales,2026-03-01,2026-03-31,60,5.0,IX,Beca DIDECO Cholchol de $200.000. RSH 60%.,Aporte de $200.000 anuales. RSH 60%. Promedio minimo 5.0.,https://www.municipalidadcholchol.cl/,[OBLIGATORIO] Certificado de Residencia; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Concentracion de Notas
