nombre,institucion,tipo_beca,monto,fecha_inicio,fecha_cierre,rsh_maximo,nem_minimo,regiones,descripcion,descripcion_larga,url,documentos_requeridos
Beca Excelencia Academica UBB,Universidad del Bio-Bio,Beca de Excelencia Academica,15-100% arancel,2026-01-01,2026-12-31,,"5.8","VIII,XVI",Beca PAES UBB 15-100%.,Beca Excelencia UBB.,https://admision.ubiobio.cl/becas-y-beneficios/,"[OBLIGATORIO] Certificado oficial de resultados PAES emitido por DEMRE"
Beca de Residencia UBB,Universidad del Bio-Bio,Beca de Mantencion,Alojamiento y alimentacion,2026-01-01,2026-12-31,60,,"VIII,XVI",Alojamiento y alimentacion para estudiantes UBB.,Beca Residencia UBB.,https://admision.ubiobio.cl/becas-y-beneficios/,"[OBLIGATORIO] Formulario de postulacion Departamento de Bienestar Estudiantil; [OBLIGATORIO] Cartola RSH actualizada; [OBLIGATORIO] Certificado de Residencia para cupo de alojamiento; [OBLIGATORIO] Documentacion de ingresos del grupo familiar"
Beca Excelencia Academica UCT,Universidad Catolica de Temuco,Beca de Excelencia Academica,20-100% arancel,2026-01-01,2026-12-31,,"5.8",IX,Beca PAES UCT 20-100%.,Beca Excelencia UCT.,https://admision.uct.cl/becas-y-beneficios/,"[OBLIGATORIO] Certificado oficial de resultados PAES DEMRE; [OBLIGATORIO] Licencia de Ensenanza Media"
Beca de Apoyo Socioeconomico UCT,Universidad Catolica de Temuco,Beca de Arancel,15-50% arancel,2026-01-01,2026-12-31,60,,IX,Beca socioeconomica UCT 15-50%.,Beca Apoyo Socioeconomico UCT.,https://admision.uct.cl/becas-y-beneficios/,"[OBLIGATORIO] Ficha de la Direccion General Estudiantil (DGE); [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] 3 ultimas liquidaciones de sueldo o comprobantes formales de ingresos del hogar"
Beca Excelencia Academica UTA,Universidad de Tarapaca,Beca de Excelencia Academica,15-100% arancel,2026-01-01,2026-12-31,,,"I,XV",Beca PAES UTA 15-100%.,Beca Excelencia UTA.,https://admision.uta.cl/becas/,"[OBLIGATORIO] Certificado oficial PAES DEMRE; [OBLIGATORIO] Certificado NEM Mineduc"
Beca de Alimentacion UTA,Universidad de Tarapaca,Beca de Alimentacion,Almuerzo y cena,2026-01-01,2026-12-31,60,,"I,XV",Almuerzo y cena para estudiantes UTA.,Beca Alimentacion UTA.,https://admision.uta.cl/becas/,"[OBLIGATORIO] Ficha DAE UTA; [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Acreditacion formal de ingresos; [OBLIGATORIO] Certificado de residencia de comuna de origen"
Beca Merito Academico UNAP,Universidad Arturo Prat,Beca de Excelencia Academica,15-100% arancel,2026-01-01,2026-12-31,,,"I,II,XV",Beca PAES UNAP 15-100%.,Beca Merito Academico UNAP.,https://admision.unap.cl/becas/,"[OBLIGATORIO] Certificado oficial de resultados PAES DEMRE"
Beca de Apoyo Institucional UNAP,Universidad Arturo Prat,Beca de Arancel,15-50% arancel,2026-01-01,2026-12-31,60,,"I,II,XV",Beca socioeconomica UNAP 15-50%.,Beca Apoyo UNAP.,https://admision.unap.cl/becas/,"[OBLIGATORIO] Evaluacion socioeconomica DAE; [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Liquidaciones de sueldo. boletas de honorarios o declaracion jurada de ingresos"
Beca Excelencia Academica UMAG,Universidad de Magallanes,Beca de Excelencia Academica,15-100% arancel,2026-01-01,2026-12-31,,,XII,Beca PAES UMAG 15-100%.,Beca Excelencia UMAG.,https://admision.umag.cl/becas/,"[OBLIGATORIO] Certificado oficial PAES emitido por DEMRE"
Beca de Mantencion UMAG,Universidad de Magallanes,Beca de Mantencion,Alojamiento y alimentacion,2026-01-01,2026-12-31,60,,XII,Alojamiento y alimentacion para estudiantes UMAG.,Beca Mantencion UMAG.,https://admision.umag.cl/becas/,"[OBLIGATORIO] Ficha Direccion de Asuntos Estudiantiles (DAE); [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Comprobantes de ingresos del ultimo ano fiscal; [OBLIGATORIO] Certificado de residencia (para cupo de alojamiento)"
