nombre,institucion,tipo_beca,monto,fecha_inicio,fecha_cierre,rsh_maximo,nem_minimo,regiones,descripcion,descripcion_larga,url,documentos_requeridos
Beca Municipal Educacion Superior Chanaral,Municipalidad de Chanaral,Beca de Mantencion Municipal,Aporte monetario anual de libre disposicion,2026-03-01,2026-04-30,70,5.0,III,Beca DIDECO Chanaral. RSH 70%. Promedio 5.0.,Aporte monetario anual de libre disposicion segun decreto presupuestario. RSH 70%. Promedio minimo 5.0.,https://www.munichanaral.cl/,[OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Concentracion de notas del ano anterior
Beca Estudiantil Alto del Carmen,Municipalidad de Alto del Carmen,Beca de Mantencion Municipal,$150.000 pago unico,2026-03-01,2026-03-31,60,5.0,III,Beca DIDECO Alto del Carmen de $150.000. Zona rural. Traslado a Copiapo/Vallenar.,Aporte de $150.000 en una remesa. Para estudiantes de comuna rural que deben trasladarse a Copiapo. Vallenar u otras ciudades. RSH obligatorio.,https://www.altodelcarmen.cl/,[OBLIGATORIO] Certificado de Residencia o declaracion jurada; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Certificado de Notas
Beca Municipal de Educacion Superior Capital de las Flores,Municipalidad de Hijuelas,Beca de Mantencion Municipal,Subsidio de asignacion directa presupuestaria,2026-03-01,2026-03-31,60,5.0,V,Beca DIDECO Hijuelas Capital de las Flores. RSH 60%.,Subsidio de asignacion directa segun presupuesto DIDECO. RSH 60%. Promedio 5.0.,https://hijuelas.cl/,[OBLIGATORIO] Certificado de Residencia; [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Certificado de Notas
Beca Municipal Educacion Superior Navidad,Municipalidad de Navidad,Beca de Mantencion Municipal,Asignacion para traslado o pension fuera de la comuna,2026-03-01,2026-03-31,60,5.0,VI,Beca DIDECO Navidad. Traslado o pension fuera de la comuna.,Asignacion economica anual para mitigar costos de traslado o pension fuera de la comuna. RSH en Navidad. Ficha social DIDECO. Promedio 5.0.,https://muninavidad.cl/,[OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Concentracion de notas
Beca Municipal de Educacion Superior Nancagua,Municipalidad de Nancagua,Beca de Mantencion Municipal,$100.000 anuales,2026-02-15,2026-03-15,60,5.0,VI,Beca DIDECO Nancagua de $100.000. Feb-mar.,Monto de $100.000 anuales de libre disposicion. Postulacion segunda quincena febrero a mediados marzo. RSH en Nancagua. Promedio 5.0.,https://www.muninancagua.cl/,[OBLIGATORIO] Ficha Social DIDECO; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Fotocopia de Cuenta RUT
Beca Municipal de Apoyo a la Educacion Superior,Municipalidad de Villa Alegre,Beca de Mantencion Municipal,Aporte anual por criterios sociales,2026-03-01,2026-03-31,60,5.0,VII,Beca DIDECO Villa Alegre de aporte anual. Sin ramos reprobados.,Aporte anual para estudiantes que cumplen criterios sociales. RSH 60%. Sin ramos reprobados.,https://www.villalegre.cl/,[OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Cedula de Identidad; [OBLIGATORIO] Concentracion de notas original
Beca Municipal de Mantencion Florida,Municipalidad de Florida,Beca de Mantencion Municipal,$150.000 en cuota unica,2026-03-01,2026-03-31,70,5.5,VIII,Beca DIDECO Florida de $150.000. RSH 70%. NEM 5.5 EM.,Subsidio de $150.000 en cuota unica. RSH 70%. NEM 5.5 EM y 5.0 ES.,https://www.muniflorida.cl/,[OBLIGATORIO] Cartola RSH vigente en la comuna; [OBLIGATORIO] Certificado de Notas original; [OBLIGATORIO] Certificado de Alumno Regular
Beca Estudiantil Municipal Yumbel,Municipalidad de Yumbel,Beca de Mantencion Municipal,Aporte por evaluacion del departamento social y presupuesto del concejo,2026-03-01,2026-04-30,60,5.0,VIII,Beca DIDECO Yumbel de aporte por evaluacion social. 30 dias habiles.,Aporte por evaluacion del departamento social y presupuesto aprobado por el concejo. Evaluacion toma 30 dias habiles. RSH 60%. IP. CFT o Ues.,https://www.yumbel.cl/,[OBLIGATORIO] Certificado de Residencia o boleta de servicios; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Certificado de notas
Beca Municipal de Apoyo a la Educacion Superior Contulmo,Municipalidad de Contulmo,Beca de Mantencion Municipal,Aporte financiero fijo anual,2026-03-01,2026-03-31,70,5.0,VIII,Beca DIDECO Contulmo. RSH 70%. Prioridad fuera Prov. Arauco.,Aporte financiero fijo anual para mitigar gastos basicos de educacion. RSH 70%. Prioridad a estudiantes que deben viajar fuera de la Provincia de Arauco.,https://www.contulmo.cl/,[OBLIGATORIO] Ficha de postulacion municipal; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Concentracion de notas
Beca de Educacion Superior Zona Extrema Torres del Paine,Municipalidad de Torres del Paine,Beca de Mantencion y Traslado,Mas de $300.000 anuales para conectividad y pension,2026-03-01,2026-03-31,60,5.0,XII,Beca DIDECO Torres del Paine de $300.000+. Zona extrema. Punta Arenas.,Asignacion de $300.000+ para sufragar conectividad y pension. Residencia permanente en Torres del Paine. Matricula fuera de la comuna. usualmente en Punta Arenas.,https://torresdelpaine.cl/,[OBLIGATORIO] Certificado de Residencia emitido por autoridad local; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] RSH
