nombre,institucion,tipo_beca,monto,fecha_inicio,fecha_cierre,rsh_maximo,nem_minimo,regiones,descripcion,descripcion_larga,url,documentos_requeridos
Beca de Educacion Superior Municipal Ovalle,Municipalidad de Ovalle,Beca de Mantencion Municipal,Aporte economico anual de libre disposicion,2026-03-01,2026-03-31,60,5.0,IV,Beca DIDECO Ovalle de aporte anual de libre disposicion.,Aporte economico anual segun decreto presupuestario DIDECO. Postulacion en marzo. RSH hasta 60%. Promedio minimo 5.0 para educacion superior.,https://www.municipalidadovalle.cl/,[OBLIGATORIO] Cartola RSH vigente; [OBLIGATORIO] Concentracion de notas del ano anterior; [OBLIGATORIO] Certificado de Alumno Regular
Beca Municipal de Educacion Superior Quillota,Municipalidad de Quillota,Beca de Mantencion Municipal,Asignacion monetaria anual para transporte o materiales,2026-03-01,2026-03-31,60,5.0,V,Beca DIDECO Quillota para transporte o materiales de estudio.,Asignacion monetaria anual orientada a gastos de transporte o materiales. RSH hasta 60%. Promedio minimo 5.0.,https://www.quillota.cl/,[OBLIGATORIO] Certificado de Residencia; [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Alumno Regular; [OBLIGATORIO] Certificado de Notas
Beca Municipal para Estudiantes de Educacion Superior Los Andes,Municipalidad de Los Andes,Beca de Mantencion Municipal,Subsidio economico anual por transferencia bancaria,2026-03-01,2026-03-31,60,5.0,V,Beca DIDECO Los Andes de subsidio anual por transferencia.,Subsidio economico anual pagado mediante transferencia bancaria. Matricula vigente en Ues. IP o CFT reconocidos por Mineduc. Rendimiento minimo 5.0.,https://www.losandes.cl/,[OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Concentracion de Notas; [OBLIGATORIO] Copia de Cedula de Identidad
Beca Municipal de Educacion Superior San Fernando,Municipalidad de San Fernando,Beca de Mantencion Municipal,Aporte monetario anual por evaluacion social DIDECO,2026-03-01,2026-04-30,60,5.0,VI,Beca DIDECO San Fernando de aporte anual por evaluacion social.,Aporte monetario anual de asignacion directa por evaluacion social. Residencia acreditada en San Fernando. RSH deficitario. Promedio minimo 5.0.,https://www.munisanfernando.cl/,[OBLIGATORIO] Certificado de residencia; [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de Alumno Regular o comprobante de matricula
Beca Ilustre Municipalidad de Linares,Municipalidad de Linares,Beca de Mantencion Municipal,Aporte unico anual para estudiantes destacados de escasos recursos,2026-03-01,2026-03-31,60,5.5,VII,Beca DIDECO Linares de aporte unico anual.,Aporte unico anual para estudiantes destacados. RSH hasta 60%. Promedio 5.0 para educacion superior y 5.5 para egresados de ensenanza media.,https://www.corporacionlinares.cl/,[OBLIGATORIO] Cartola RSH en Linares; [OBLIGATORIO] Concentracion de notas; [OBLIGATORIO] Certificado de Alumno Regular
Beca Municipal de Educacion Superior Coronel,Municipalidad de Coronel,Beca de Mantencion Municipal,Subsidio de libre disposicion anual,2026-03-01,2026-03-31,60,5.0,VIII,Beca DIDECO Coronel de subsidio anual de libre disposicion.,Subsidio de libre disposicion entregado anualmente por el departamento social. RSH tramos prioritarios. Promedio minimo 5.0.,https://www.coronel.cl/,[OBLIGATORIO] Certificado de residencia o boleta de servicios; [OBLIGATORIO] Cartola RSH actualizada; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Concentracion de notas
Beca Municipal para Estudiantes de Educacion Superior Chiguayante,Municipalidad de Chiguayante,Beca de Mantencion Municipal,Beneficio economico anual segun presupuesto DIDECO,2026-03-01,2026-05-31,60,5.0,VIII,Beca DIDECO Chiguayante de beneficio anual segun presupuesto.,Beneficio economico regulado por el presupuesto de DIDECO. RSH de Chiguayante. Matricula vigente. Rendimiento minimo 5.0.,https://www.chiguayante.cl/,[OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Alumno Regular; [OBLIGATORIO] Concentracion de notas; [OBLIGATORIO] Fotocopia de Cedula de Identidad
Beca Municipal de Educacion Superior Puerto Varas,Municipalidad de Puerto Varas,Beca de Mantencion Municipal,Aporte economico anual para mantencion,2026-03-01,2026-03-31,60,5.0,X,Beca DIDECO Puerto Varas de aporte anual para mantencion.,Aporte economico anual para estudiantes de la comuna. RSH hasta 60%. Promedio minimo 5.0.,https://www.ptovaras.cl/,[OBLIGATORIO] Certificado de Residencia; [OBLIGATORIO] Cartola RSH (Tope 60%); [OBLIGATORIO] Alumno Regular; [OBLIGATORIO] Certificado de Notas
Beca Municipal de Educacion Superior Ancud,Municipalidad de Ancud,Beca de Mantencion Municipal,Aporte monetario anual para residentes de Chiloe,2026-02-01,2026-03-31,60,5.0,X,Beca DIDECO Ancud para residentes de Chiloe.,Aporte monetario anual para residentes de Chiloe. RSH hasta 60%. Rendimiento minimo 5.0. Monto puede variar para quienes estudian fuera de la provincia.,https://www.muniancud.cl/,[OBLIGATORIO] Certificado de Residencia; [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Alumno Regular; [OBLIGATORIO] Concentracion de notas
Beca Municipal de Educacion Superior Melipilla,Municipalidad de Melipilla,Beca de Mantencion Municipal,Subsidio economico anual segun evaluacion y presupuesto DIDECO,2026-03-01,2026-03-31,60,5.0,RM,Beca DIDECO Melipilla de subsidio anual segun evaluacion socioeconomica.,Subsidio economico anual sujeto a evaluacion socioeconomica y disponibilidad presupuestaria DIDECO. Institucion acreditada por el Estado. Promedio minimo 5.0.,https://www.melipilla.cl/,[OBLIGATORIO] Formulario de postulacion municipal; [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de alumno regular; [OBLIGATORIO] Concentracion de notas del ano anterior
