nombre,institucion,tipo_beca,monto,fecha_inicio,fecha_cierre,rsh_maximo,nem_minimo,regiones,descripcion,descripcion_larga,url,documentos_requeridos
Beca Municipal de Educacion Superior La Cisterna,Municipalidad de La Cisterna,Beca de Mantencion Municipal,Aporte monetario anual de libre disposicion,2026-03-01,2026-03-31,60,5.0,RM,Beca DIDECO La Cisterna de aporte anual.,Aporte monetario anual segun decreto presupuestario DIDECO. RSH hasta 60%. Promedio minimo 5.0.,https://cisterna.cl/,[OBLIGATORIO] Cartola RSH en la comuna; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Concentracion de notas del ano anterior
Beca Municipal Educacion Superior Huechuraba,Municipalidad de Huechuraba,Beca de Mantencion Municipal,Subsidio economico anual fraccionado en cuotas,2026-03-01,2026-03-31,60,5.5,RM,Beca DIDECO Huechuraba de subsidio fraccionado.,Subsidio economico anual fraccionado en cuotas por departamento social. RSH hasta 60%. Promedio 5.0 ES y 5.5 para egresados de cuarto medio.,https://www.huechuraba.cl/,[OBLIGATORIO] Certificado de Residencia; [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Certificado de Notas
Beca Municipal Educacion Superior Cerrillos,Municipalidad de Cerrillos,Beca de Mantencion Municipal,Aporte anual por criterios sociales,2026-03-01,2026-03-31,60,5.0,RM,Beca DIDECO Cerrillos de aporte anual.,Aporte anual para estudiantes en instituciones reconocidas por el Estado. RSH hasta 60%. Promedio minimo 5.0.,https://www.mcerrillos.cl/,[OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Concentracion de notas
Beca Municipal para Estudiantes de Educacion Superior Lo Prado,Municipalidad de Lo Prado,Beca de Mantencion Municipal,Aporte monetario segun evaluacion y presupuesto DIDECO,2026-03-01,2026-03-31,60,5.0,RM,Beca DIDECO Lo Prado de aporte segun evaluacion.,Aporte monetario sujeto a evaluacion y presupuesto DIDECO. RSH hasta 60%. Promedio minimo 5.0.,https://www.loprado.cl/,[OBLIGATORIO] Certificado de residencia; [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Fotocopia de Cedula de Identidad
Beca Municipal Educacion Superior La Pintana,Municipalidad de La Pintana,Beca de Mantencion Municipal,Subsidio municipal de mantencion de libre disposicion,2026-03-01,2026-04-30,70,5.0,RM,Beca DIDECO La Pintana de subsidio de mantencion. RSH hasta 70%.,Subsidio municipal de mantencion de libre disposicion. RSH flexible hasta 70% segun casos evaluados. Promedio minimo 5.0.,https://pintana.cl/,[OBLIGATORIO] Cartola RSH en La Pintana; [OBLIGATORIO] Concentracion de notas; [OBLIGATORIO] Certificado de Alumno Regular
Beca Municipal Educacion Superior Penco,Municipalidad de Penco,Beca de Mantencion Municipal,Monto de libre disposicion segun presupuesto anual,2026-03-01,2026-03-31,60,5.0,VIII,Beca DIDECO Penco de libre disposicion.,Monto de libre disposicion segun presupuesto municipal anual. RSH hasta 60%. Promedio minimo 5.0.,https://www.penco.cl/,[OBLIGATORIO] Certificado de residencia; [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Concentracion de notas
Beca Municipal de Educacion Superior Arauco,Municipalidad de Arauco,Beca de Mantencion Municipal,Aporte monetario anual para estudiantes de la provincia,2026-03-01,2026-03-31,60,5.0,VIII,Beca DIDECO Arauco de aporte anual.,Aporte monetario anual para estudiantes de la provincia. RSH hasta 60%. Promedio 5.0.,https://www.muniarauco.cl/,[OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Concentracion de notas; [OBLIGATORIO] Fotocopia de Cedula de Identidad
Beca Municipal Educacion Superior Panguipulli,Municipalidad de Panguipulli,Beca de Mantencion Municipal,Aporte economico anual para mantencion,2026-02-01,2026-03-31,60,5.0,XIV,Beca DIDECO Panguipulli de aporte anual para mantencion.,Aporte economico anual para mantencion de estudiantes. RSH hasta 60%. Promedio 5.0.,https://municipalidadpanguipulli.cl/,[OBLIGATORIO] Certificado de Residencia; [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Certificado de Notas
Beca Municipal Educacion Superior Llanquihue,Municipalidad de Llanquihue,Beca de Mantencion Municipal,Aporte monetario anual segun decreto presupuestario,2026-03-01,2026-03-31,60,5.0,X,Beca DIDECO Llanquihue de aporte anual.,Aporte monetario anual regulado bajo decreto de presupuesto municipal. RSH hasta 60%. Promedio 5.0.,https://www.llanquihue.cl/,[OBLIGATORIO] Certificado de Residencia; [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Alumno Regular; [OBLIGATORIO] Concentracion de notas
Beca Municipal de Educacion Superior Frutillar,Municipalidad de Frutillar,Beca de Mantencion Municipal,Subsidio economico anual segun evaluacion y presupuesto DIDECO,2026-03-01,2026-03-31,60,5.0,X,Beca DIDECO Frutillar de subsidio anual.,Subsidio economico anual sujeto a evaluacion socioeconomica y disponibilidad presupuestaria DIDECO. RSH prioritario. Promedio 5.0.,https://munifrutillar.cl/,[OBLIGATORIO] Formulario de postulacion; [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de alumno regular; [OBLIGATORIO] Concentracion de notas del ano anterior
