nombre,institucion,tipo_beca,monto,fecha_inicio,fecha_cierre,rsh_maximo,nem_minimo,regiones,descripcion,descripcion_larga,url,documentos_requeridos
Beca Municipal Educacion Superior Rapa Nui,Municipalidad de Isla de Pascua,Beca de Mantencion y Traslado Zona Extrema Insular,Mas de $400.000 anuales,2026-03-01,2026-03-31,60,5.0,V,Beca DIDECO Rapa Nui de $400.000+. Zona extrema insular. Traslado al continente.,Monto de $400.000+ para estudiantes que deben viajar al continente a cursar estudios tecnicos o universitarios. Residencia permanente en Rapa Nui.,https://www.muniisladepascua.cl/,[OBLIGATORIO] Certificado de Residencia emitido por Gobernacion o Municipio; [OBLIGATORIO] Certificado de Alumno Regular en el continente; [OBLIGATORIO] Cartola RSH
Beca de Educacion Superior Ilustre Municipalidad de Quintero,Municipalidad de Quintero,Beca de Mantencion Municipal,$300.000 por transferencia a Cuenta RUT,2026-03-01,2026-03-31,70,5.0,V,Beca DIDECO Quintero de $300.000. RSH 70%. Modalidad presencial.,Asignacion de $300.000 via Cuenta RUT. RSH 70%. Promedio 5.0. Certificado debe indicar modalidad presencial.,https://muniquintero.cl/,[OBLIGATORIO] Formulario Unico de Postulacion DIDECO; [OBLIGATORIO] Certificado de Alumno Regular (modalidad presencial); [OBLIGATORIO] Concentracion de notas
Beca Municipal de Educacion Superior San Antonio,Municipalidad de San Antonio,Beca de Mantencion Municipal,Monto de libre disposicion segun presupuesto DIDECO,2026-03-01,2026-03-31,60,5.0,V,Beca DIDECO San Antonio. 2 anos residencia. Sin rendiciones pendientes.,Monto segun presupuesto anual DIDECO priorizando mayor vulnerabilidad. Bases primera semana marzo. Domicilio minimo 2 anos. Promedio 5.0.,https://www.sanantonio.cl/,[OBLIGATORIO] Certificado historico de residencia; [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de Alumno Regular vigente
Beca Municipal Educacion Superior Concon,Municipalidad de Concon,Beca de Mantencion Municipal,$250.000 en cuota unica por Concejo Municipal,2026-03-15,2026-04-15,60,5.0,V,Beca DIDECO Concon de $250.000. RSH 60%. Voluntariado posible.,Aporte de $250.000 en cuota unica tras aprobacion del Concejo. RSH 60%. Posible exigencia de voluntariado por Oficina de la Juventud.,https://concon.cl/,[OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Certificado de Notas; [OBLIGATORIO] RSH domiciliado en Concon
Beca Municipal de Estudios Superiores Casablanca,Municipalidad de Casablanca,Beca de Mantencion Municipal,$150.000 deposito directo,2026-03-01,2026-04-30,70,5.0,V,Beca DIDECO Casablanca de $150.000. RSH 70%. No magister ni distancia.,Aporte de $150.000. Evaluacion en abril. RSH 70%. No magister. diplomados ni carreras a distancia.,https://www.municasablanca.cl/,[OBLIGATORIO] Ficha Social DIDECO; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Concentracion de notas original
Beca Municipal de Educacion Superior El Quisco,Municipalidad de El Quisco,Beca de Mantencion Municipal,$200.000 anuales,2026-03-01,2026-03-31,60,5.0,V,Beca DIDECO El Quisco de $200.000. NEM 5.0.,Asignacion de $200.000 de libre disposicion. NEM minimo 5.0.,https://www.elquisco.cl/,[OBLIGATORIO] Certificado de Notas; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Cartola RSH
Beca Municipal Educacion Superior Alto Biobio,Municipalidad de Alto Biobio,Beca de Mantencion y Traslado,Subsidio anual de libre disposicion,2026-03-01,2026-03-31,60,5.0,VIII,Beca DIDECO Alto Biobio. Ponderacion extra Certificado CONADI.,Subsidio anual para estudiantes pehuenches. RSH 60%. Ponderacion adicional con Certificado de Calidad Indigena (CONADI).,https://www.munialtobiobio.cl/,[OBLIGATORIO] Certificado de Calidad Indigena (si aplica); [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] RSH rural
Beca de Educacion Superior Santa Barbara,Municipalidad de Santa Barbara,Beca de Mantencion Municipal,$200.000 anuales,2026-03-01,2026-03-31,60,5.0,VIII,Beca DIDECO Santa Barbara de $200.000. IP. CFT o Ues.,Monto de $200.000 anuales. IP. CFT o universidades. Promedio minimo 5.0.,https://www.santabarbara.cl/,[OBLIGATORIO] Certificado de Residencia o boleta de servicios; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Certificado de notas
Beca Municipal Educacion Superior Negrete,Municipalidad de Negrete,Beca de Mantencion Municipal,$150.000 anuales por evaluacion social,2026-03-01,2026-03-31,70,5.0,VIII,Beca DIDECO Negrete de $150.000. RSH 70%. Incompatible beca estatal 100%.,Aporte de $150.000 por departamento social. RSH 70%. Incompatible con becas estatales que cubran 100% mantencion y arancel.,https://www.muninegrete.cl/,[OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Concentracion de notas original
Beca Municipal Estudiantil Quilaco,Municipalidad de Quilaco,Beca de Mantencion Municipal,$100.000 anuales,2026-03-01,2026-03-31,60,5.0,VIII,Beca DIDECO Quilaco de $100.000. RSH 60%.,Asignacion de $100.000 para educacion superior tecnica o universitaria. RSH 60%. Promedio 5.0.,https://municipalidadquilaco.cl/,[OBLIGATORIO] Formulario Unico de Postulacion DIDECO; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Certificado historico de notas
