nombre,institucion,tipo_beca,monto,fecha_inicio,fecha_cierre,rsh_maximo,nem_minimo,regiones,descripcion,descripcion_larga,url,documentos_requeridos
Beca Municipal Educacion Superior San Bernardo,Municipalidad de San Bernardo,Beca de Mantencion Municipal,$150.000 en cuota unica,2026-03-01,2026-04-07,60,5.0,RM,Beca DIDECO San Bernardo de $150.000. RSH 60%.,Monto de $150.000 en cuota unica. Postulacion marzo a primera semana abril. RSH 60%. Promedio 5.0.,https://www.sanbernardo.cl/,[OBLIGATORIO] Certificado de Alumno Regular oficial; [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Concentracion de notas del ano anterior
Beca Municipal de Educacion Superior Pudahuel,Municipalidad de Pudahuel,Beca de Mantencion Municipal,$200.000 por transferencia,2026-03-15,2026-04-15,60,5.0,RM,Beca DIDECO Pudahuel de $200.000. No distancia ni titulo previo.,Aporte de $200.000 via transferencia. No carreras a distancia o b-learning ni titulo profesional previo.,https://www.mpudahuel.cl/,[OBLIGATORIO] Formulario Unico de Postulacion DIDECO; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Certificado de notas
Beca de Mantencion Educacion Superior Conchali,Municipalidad de Conchali,Beca de Mantencion Municipal,$100.000 anuales,2026-03-01,2026-03-31,70,5.0,RM,Beca DIDECO Conchali de $100.000. RSH 70%. Sin deudas pendientes.,Asignacion de $100.000. RSH 70%. Promedio 5.0. Sin deudas ni rendiciones pendientes anos anteriores.,https://www.conchali.cl/,[OBLIGATORIO] Certificado de Residencia o boleta de servicios; [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de Alumno Regular vigente
Beca Municipal Educacion Superior La Pintana,Municipalidad de La Pintana,Beca de Mantencion Municipal,$150.000 en 1 cuota,2026-03-01,2026-04-30,60,5.5,RM,Beca DIDECO La Pintana de $150.000. NEM 5.5 EM. Evaluacion abril.,Aporte de $150.000 en cuota a mediados del primer semestre. RSH 60%. NEM 5.5 EM y 5.0 ES. Evaluacion social en abril.,https://www.pintana.cl/,[OBLIGATORIO] Ficha Social DIDECO; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Concentracion de notas original
Beca Municipal de Estudios Superiores Macul,Municipalidad de Macul,Beca de Mantencion Municipal,$200.000 anuales por pauta social,2026-03-01,2026-03-31,70,5.0,RM,Beca DIDECO Macul de $200.000. RSH 70%. Actividad social obligatoria.,Monto de $200.000 asignado a mayor puntaje en pauta social. RSH 70%. Participacion obligatoria en actividades sociales o comunitarias municipales.,https://www.munimacul.cl/,[OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Carta de compromiso firmada
Beca de Educacion Superior Penalolen,Municipalidad de Penalolen,Beca de Arancel y Mantencion,Hasta $300.000. Excluye Gratuidad 100%.,2026-02-01,2026-03-31,60,5.0,RM,Beca DIDECO Penalolen de hasta $300.000. Tarjeta Vecino. Excluye Gratuidad.,Asignacion escalonada con tope de $300.000 para estudiantes sin gratuidad. Tarjeta Vecino o RSH en Penalolen. Excluye Gratuidad 100% del item arancel.,https://www.penalolen.cl/,[OBLIGATORIO] Certificado de Notas; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Acreditacion de beneficios estatales (Mineduc)
Beca Municipal Educacion Superior Cerrillos,Municipalidad de Cerrillos,Beca de Mantencion Municipal,$150.000 deposito Cuenta RUT,2026-03-01,2026-03-31,60,5.0,RM,Beca DIDECO Cerrillos de $150.000 via Cuenta RUT. IP. CFT o Ues.,Aporte de $150.000 via Cuenta RUT. IP. CFT o universidades. Promedio 5.0.,https://www.mcerrillos.cl/,[OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Concentracion de notas
Beca Municipal de Apoyo a la Educacion Superior La Granja,Municipalidad de La Granja,Beca de Mantencion Municipal,$120.000 en cuota unica,2026-03-01,2026-04-15,60,5.0,RM,Beca DIDECO La Granja de $120.000. RSH 60%. Deposito bancario.,Subsidio de $120.000 en cuota unica por deposito bancario. RSH 60%.,https://www.municipalidadlagranja.cl/,[OBLIGATORIO] Fotocopia de Cedula de Identidad; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] RSH
Beca Municipal Educacion Superior San Ramon,Municipalidad de San Ramon,Beca de Mantencion Municipal,$100.000 anuales,2026-03-01,2026-03-31,70,5.0,RM,Beca DIDECO San Ramon de $100.000. RSH 70%.,Monto de $100.000 anuales. RSH 70%. Evaluacion socioeconomica deficitaria.,https://www.municipalidadsanramon.cl/,[OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Concentracion de notas original
Beca Municipal Estudiantil Lo Prado,Municipalidad de Lo Prado,Beca de Mantencion Municipal,$150.000 anuales por evaluacion DIDECO,2026-03-01,2026-03-31,60,5.0,RM,Beca DIDECO Lo Prado de $150.000. No preuniversitario ni diplomados.,Aporte de $150.000 por departamento social. Promedio 5.0. No preuniversitario ni diplomados.,https://loprado.cl/,[OBLIGATORIO] Formulario Unico de Postulacion; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Certificado historico de notas
