nombre,institucion,tipo_beca,monto,fecha_inicio,fecha_cierre,rsh_maximo,nem_minimo,regiones,descripcion,descripcion_larga,url,documentos_requeridos
Beca Municipal de Educacion Superior 2026,Municipalidad de Rinconada,Beca de Mantencion Municipal,$200.000 en 2 cuotas de $100.000 (mayo y octubre). 220 cupos.,2026-03-01,2026-05-20,40,6.0,V,Beca DIDECO Rinconada de $200.000. 220 cupos. RSH 40%. NEM 6.0 primer ano.,Aporte de $200.000 en 2 cuotas de $100.000 (mayo y octubre). 220 cupos. RSH 40% mas vulnerable. NEM 6.0 primer ano y 5.0 segundo ano en adelante. Postulacion estrictamente presencial en DIDECO.,https://munirinconada.cl/,[OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Cartola RSH al 40%; [OBLIGATORIO] Concentracion de notas original
Beca Municipal de Educacion Superior 2025/2026,Municipalidad de Carahue,Beca de Mantencion Municipal,Aporte segun presupuesto DIDECO,2026-03-24,2026-04-17,40,6.0,IX,Beca DIDECO Carahue. RSH 40%. NEM 6.0 EM / 5.5 ES. Entrevista obligatoria.,Aporte segun presupuesto DIDECO. RSH 40% mayor vulnerabilidad. NEM 6.0 EM y 5.5 ES. Entrevista obligatoria en DIDECO con profesional del area social.,https://carahue.cl/,[OBLIGATORIO] Fotocopia de Cedula de Identidad; [OBLIGATORIO] Concentracion de notas original; [OBLIGATORIO] Certificado de Alumno Regular
Beca Municipal Educacion Superior 2026,Municipalidad de La Calera,Beca de Mantencion Municipal,Pto $130.000.000 a repartir entre seleccionados,2026-03-01,2026-03-31,60,6.0,V,Beca DIDECO La Calera. Pto $130MM. NEM 6.0 EM / 5.5 Tec / 5.0 Prof.,Asignacion de libre disposicion con pto superior a $130 millones. NEM 6.0 EM; 5.5 carreras tecnicas hasta 3 anos; 5.0 carreras profesionales universitarias.,https://lacalera.cl/,[OBLIGATORIO] Certificado de alumno regular; [OBLIGATORIO] Liquidacion de sueldo de TODOS los integrantes de la familia; [OBLIGATORIO] Fotocopia tarjeta Cuenta RUT activa
Beca Municipal y Beca de Devolucion de Matricula,Municipalidad de San Rosendo,Beca de Mantencion y Reembolso,$250.000 en 2 cuotas o reembolso del 50% de la matricula,2026-03-01,2026-03-31,60,5.0,VIII,Beca DIDECO San Rosendo. Exclusivo egresados Liceo Isidora Aguirre Tupper.,Beca Municipal: $250.000 en 2 cuotas semestrales. Modalidad Devolucion de Matricula: reembolso del 50% del costo de matricula. Exclusivo para egresados de los 4 anos de EM en Liceo Isidora Aguirre Tupper.,https://municipalidadsanrosendo.cl/,[OBLIGATORIO] Certificado de egreso historico del Liceo Isidora Aguirre; [OBLIGATORIO] Comprobante de pago de matricula (reembolso); [OBLIGATORIO] RSH
Beca Municipal de Pelluhue para la Educacion Superior,Municipalidad de Pelluhue,Beca de Mantencion y Residencia,$100.000 + residencia gratuita en departamentos en Talca,2026-03-01,2026-04-30,60,5.0,VII,Beca DIDECO Pelluhue de $100.000 + residencia en Talca. 280 cupos.,Aporte de $100.000 mas subsidio de residencia gratuita en departamentos habilitados en Talca. 280 cupos. Estudiar en CFT. IP o Ues fuera de la comuna.,https://www.munipelluhue.cl/,[OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Certificado de Notas; [OBLIGATORIO] RSH
Programa Beca Municipal de Educacion Superior,Municipalidad de Cerro Navia,Beca de Mantencion Municipal,$400.000 anuales para gastos basicos,2026-03-01,2026-03-31,60,5.0,RM,Beca DIDECO Cerro Navia de $400.000. Ficha municipal.,Aporte fijo de $400.000 anuales para gastos basicos derivados del sistema. RSH en Cerro Navia. Rendimiento minimo por departamento social.,https://www.cerronavia.cl/,[OBLIGATORIO] Ficha de postulacion municipal; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Concentracion de notas original
Programa Beca Municipal de Ensenanza Superior,Municipalidad de Cunco,Beca de Mantencion Municipal,Aporte monetario mensual durante el ano academico,2026-03-01,2026-03-31,60,4.5,IX,Beca DIDECO Cunco. NEM 4.5. Entrevista con Asistente Social.,Aporte mensual durante el ano academico. Evaluacion DIDECO. Nota minima flexible: 4.5 para educacion superior. Entrevista preliminar con Asistente Social.,https://www.municunco.cl/,[OBLIGATORIO] Fotocopia de carnet de identidad; [OBLIGATORIO] Cuenta RUT; [OBLIGATORIO] Documento socioeconomico requerido en entrevista por Asistente Social
Beca Educacion Superior Santa Maria,Municipalidad de Santa Maria,Beca de Mantencion Municipal,Ayuda economica anual renovable por 2 anos,2026-03-01,2026-03-31,60,5.0,V,Beca DIDECO Santa Maria. Renovable por 2 anos si mantiene condiciones.,Ayuda economica anual renovable por 2 anos si se mantienen condiciones academicas. Vulnerabilidad socioeconomica y excelencia academica.,https://www.imsantamaria.cl/,[OBLIGATORIO] Formulario Social de DIDECO; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Certificado historico de Notas
Programa Beca Municipal de Educacion Superior DAEM/DIDECO,Municipalidad de Codegua,Beca de Mantencion Municipal,Asignacion de libre disposicion financiada por DAEM/DIDECO,2026-03-01,2026-03-31,60,5.0,VI,Beca DAEM/DIDECO Codegua de libre disposicion.,Asignacion financiada por municipio y ejecutada por DAEM. Exclusivo para jovenes de Codegua en carreras tecnicas o profesionales reconocidas por el Estado.,https://www.municipalidaddecodegua.cl/,[OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Concentracion de notas
Beca Municipal Educacion Superior,Municipalidad de Teodoro Schmidt,Beca de Mantencion Municipal,Aporte regulado por decreto presupuestario,2026-03-01,2026-03-31,60,5.0,IX,Beca DIDECO Teodoro Schmidt de aporte anual.,Aporte anual regulado por decreto. Coordinado con Beca Residencia y red de beneficios de la comuna. RSH prioritario. Promedio 5.0.,https://muniteodoro.cl/,[OBLIGATORIO] Certificado de Residencia; [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Alumno Regular; [OBLIGATORIO] Concentracion de notas
