nombre,institucion,tipo_beca,monto,fecha_inicio,fecha_cierre,rsh_maximo,nem_minimo,regiones,descripcion,descripcion_larga,url,documentos_requeridos
Beca Puntaje Academico UAI,Universidad Adolfo Ibanez,Beca de Excelencia Academica,50% arancel anual,2026-01-01,2026-12-31,,,RM,50% arancel para puntajes PAES destacados UAI.,Beca Puntaje Academico UAI.,https://admision.uai.cl/becas-y-beneficios/,"[OBLIGATORIO] Certificado oficial de resultados PAES emitido por DEMRE"
Beca Deportiva UAI,Universidad Adolfo Ibanez,Beca Deportiva,25-50% arancel,2026-01-01,2026-12-31,,,RM,Beca para deportistas seleccionados o alta competencia UAI.,Beca Deportiva UAI.,https://admision.uai.cl/becas-y-beneficios/,"[OBLIGATORIO] Certificado de Federacion Deportiva Nacional o IND vigente; [OBLIGATORIO] Curriculum deportivo; [OBLIGATORIO] Aprobacion de evaluacion presencial del Departamento de Deportes UAI"
Beca Hermanos UAI,Universidad Adolfo Ibanez,Beca de Arancel,25% arancel anual,2026-01-01,2026-12-31,,,RM,25% arancel para hermanos de alumnos UAI.,Beca Hermanos UAI.,https://admision.uai.cl/becas-y-beneficios/,"[OBLIGATORIO] Certificados de Nacimiento para acreditar parentesco directo; [OBLIGATORIO] Certificado de Alumno Regular o matricula vigente del hermano ya matriculado en la UAI"
Beca Puntaje PAES UDD,Universidad del Desarrollo,Beca de Excelencia Academica,25-100% arancel,2026-01-01,2026-12-31,,"5.8",RM,Beca por puntaje PAES UDD 25-100%.,Beca PAES UDD.,https://admision.udd.cl/becas/,"[OBLIGATORIO] Certificado oficial de resultados PAES emitido por DEMRE; [OBLIGATORIO] Licencia de Ensenanza Media"
Beca Deportista Destacado UDD,Universidad del Desarrollo,Beca Deportiva,30-50% arancel,2026-01-01,2026-12-31,,,RM,Beca para seleccionados nacionales UDD.,Beca Deportista Destacado UDD.,https://admision.udd.cl/becas/,"[OBLIGATORIO] Certificado de Federacion Nacional o IND acreditando calidad de Seleccionado Nacional o Regional; [OBLIGATORIO] Curriculum deportivo documentado; [OBLIGATORIO] Entrevista y prueba fisica aprobada por Direccion de Deportes UDD"
Beca Socioeconomica UDD,Universidad del Desarrollo,Beca de Arancel,Hasta 50% arancel,2026-01-01,2026-12-31,60,,RM,Hasta 50% arancel segun situacion socioeconomica.,Beca Socioeconomica UDD.,https://admision.udd.cl/becas/,"[OBLIGATORIO] Ficha socioeconomica DAE completada; [OBLIGATORIO] Cartola del Registro Social de Hogares; [OBLIGATORIO] 6 ultimas liquidaciones de sueldo de sostenedores; [OBLIGATORIO] Certificado de las ultimas 12 cotizaciones de AFP"
Beca Excelencia Academica UAH,Universidad Alberto Hurtado,Beca de Excelencia Academica,30% arancel o matricula,2026-01-01,2026-12-31,,"5.8",RM,Beca Academica UAH por PAES.,Beca Excelencia UAH.,https://admision.uahurtado.cl/becas-y-beneficios,"[OBLIGATORIO] Certificado oficial de resultados PAES emitido por DEMRE"
Beca Copago Institucional UAH,Universidad Alberto Hurtado,Beca de Arancel,Complemento brecha arancel,2026-01-01,2026-12-31,60,,RM,Complemento a beneficios Mineduc UAH.,Beca Copago UAH.,https://admision.uahurtado.cl/becas-y-beneficios,"[OBLIGATORIO] Cartola RSH actualizada; [OBLIGATORIO] Certificado de asignacion de beneficio estatal del Mineduc; [OBLIGATORIO] Formulario de evaluacion de la Direccion de Asuntos Estudiantiles (DAE)"
Beca Deportiva UAH,Universidad Alberto Hurtado,Beca Deportiva,25-50% arancel,2026-01-01,2026-12-31,,,RM,Beca para deportistas UAH.,Beca Deportiva UAH.,https://admision.uahurtado.cl/becas-y-beneficios,"[OBLIGATORIO] Certificado oficial del IND o Federacion deportiva respectiva; [OBLIGATORIO] Evaluacion tecnica aprobada por el Centro Deportivo UAH"
Beca Merito Academico UCSH,Universidad Catolica Silva Henriquez,Beca de Excelencia Academica,10-50% arancel,2026-01-01,2026-12-31,,"5.5",RM,Beca por puntaje PAES UCSH.,Beca Merito Academico UCSH.,https://admision.ucsh.cl/becas-y-beneficios/,"[OBLIGATORIO] Certificado oficial de resultados PAES DEMRE; [OBLIGATORIO] Certificado de Concentracion de Notas (NEM) Mineduc"
Beca Deportiva UCSH,Universidad Catolica Silva Henriquez,Beca Deportiva,10-40% arancel,2026-01-01,2026-12-31,,,RM,Beca para deportistas UCSH.,Beca Deportiva UCSH.,https://admision.ucsh.cl/becas-y-beneficios/,"[OBLIGATORIO] Certificado de vigencia emitido por IND o Federacion deportiva; [OBLIGATORIO] Curriculum deportivo visado por la DAE UCSH"
Beca Familiar UCSH,Universidad Catolica Silva Henriquez,Beca de Arancel,15% arancel anual,2026-01-01,2026-12-31,,,RM,15% arancel para hermanos UCSH.,Beca Familiar UCSH.,https://admision.ucsh.cl/becas-y-beneficios/,"[OBLIGATORIO] Certificado de Nacimiento con asignacion familiar de ambos postulantes; [OBLIGATORIO] Fotocopia de Cedula de Identidad de ambos hermanos"
