nombre,institucion,tipo_beca,monto,fecha_inicio,fecha_cierre,rsh_maximo,nem_minimo,regiones,descripcion,descripcion_larga,url,documentos_requeridos
Beca Municipal Estudiantil Educacion Superior San Gregorio,Municipalidad de San Gregorio,Beca de Mantencion Municipal,10 cuotas mensuales (todo el ano academico),2026-03-19,2026-03-27,60,5.0,XII,Beca DIDECO San Gregorio en 10 cuotas. Postulacion 19-27 mar 2026. oficina.partes@sangregorio.cl.,Aporte fraccionado en 10 cuotas mensuales. Postulacion 19-27 mar 2026. Evaluacion 30 mar-6 abr. Resultados 8 abr. Documentacion fisica o a oficina.partes@sangregorio.cl. Tecnico Nivel Superior o Profesional.,https://sangregorio.cl/,[OBLIGATORIO] Certificado de alumno regular; [OBLIGATORIO] Documentacion fisica o al correo oficina.partes@sangregorio.cl; [OBLIGATORIO] Cartola RSH
Beca Municipal de Incentivo al Rendimiento Academico de Estudios Superior,Municipalidad de Colchane,Beca de Mantencion y Premio al Rendimiento,Asignacion unica anual (fomento educativo zona fronteriza),2026-03-01,2026-04-30,60,5.5,I,Beca DIDECO Colchane de incentivo al rendimiento. Zona fronteriza. NEM 5.5+.,Asignacion unica de libre disposicion para excelencia academica. Fondos DIDECO para fomento educativo en zona fronteriza. Ascendencia o residencia local. Umbral de notas historico sobre 5.5.,https://www.imcolchane.cl/,[OBLIGATORIO] Concentracion de notas original o validada por Mineduc; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Cedula de Identidad
Beca Municipal de Educacion Superior Puerto Cisnes,Municipalidad de Cisnes,Beca de Mantencion y Traslado,2 remesas semestrales,2026-03-01,2026-08-31,70,5.0,XI,Beca DIDECO Puerto Cisnes. RSH 70%. Renovacion agosto. No online.,Monto en 2 remesas semestrales para traslado desde Cisnes. La Junta. Puyuhuapi o Melimoyu. RSH 70%. Renovacion obligatoria agosto. No carreras 100% online. Prioriza movilidad y estadia.,https://www.municipalidadcisnes.cl/,[OBLIGATORIO] Certificado de Residencia emitido por Junta de Vecinos local; [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Certificado de Notas
Beca Municipal Educacion Superior Cerro Sombrero,Municipalidad de Primavera,Beca de Mantencion Municipal,Aporte anual alto estandar (Zona Extrema),2026-03-01,2026-03-31,60,5.0,XII,Beca DIDECO Primavera Cerro Sombrero. Tierra del Fuego.,Aporte de alto estandar para zona extrema. Residencia en Cerro Sombrero o sectores rurales de Primavera. Institucion fuera de Tierra del Fuego. Promedio 5.0.,https://municipalidadprimavera.cl/,[OBLIGATORIO] RSH domiciliado en Primavera; [OBLIGATORIO] Certificado de Alumno Regular en institucion fuera de Tierra del Fuego; [OBLIGATORIO] Concentracion de notas
Beca Municipal de Apoyo a la Educacion Superior Camina,Municipalidad de Camina,Beca de Mantencion Municipal,Aporte anual en 1 remesa,2026-03-01,2026-03-31,60,5.0,I,Beca DIDECO Camina de aporte anual. Carreras minimo 4 semestres.,Aporte economico para estudiantes de la quebrada en una remesa. RSH 60%. Carreras minimo 4 semestres.,https://www.municamina.cl/,[OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Certificado de notas del ano anterior; [OBLIGATORIO] Fotocopia de Cuenta RUT
Beca Municipal Educacion Superior Caleta Tortel,Municipalidad de Tortel,Beca de Mantencion y Conectividad,Subsidio anual para salida maritima/terrestre,2026-03-01,2026-04-15,60,5.0,XI,Beca DIDECO Caleta Tortel. Salida maritima/terrestre a Coyhaique.,Subsidio anual para alto costo de salida del estudiante hacia Coyhaique o resto del pais. Residencia exclusiva en Tortel. No becas de mantencion estatal que superen topes anuales.,https://www.municipalidadtortel.cl/,[OBLIGATORIO] Certificado de Residencia notarial o de autoridad local; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Cartola RSH
Beca de Mantencion Educacion Superior Huara,Municipalidad de Huara,Beca de Mantencion Municipal,Asignacion fija anual por decreto presupuestario,2026-03-01,2026-03-31,70,5.0,I,Beca DIDECO Huara. RSH 70%. Sin deudas ni rendiciones pendientes.,Asignacion fija anual por decreto DIDECO. RSH 70%. Promedio 5.0. Sin deudas ni rendiciones pendientes de becas municipales.,https://www.imhuara.cl/,[OBLIGATORIO] Formulario Unico de Postulacion DIDECO; [OBLIGATORIO] Certificado de Alumno Regular oficial; [OBLIGATORIO] Concentracion de notas original
Beca Municipal de Educacion Superior Melinka,Municipalidad de Guaitecas,Beca de Mantencion y Traslado,Subsidio anual priorizando pasajes aereos/maritimos y estadia,2026-03-01,2026-03-31,60,5.0,XI,Beca DIDECO Melinka Guaitecas. Pasajes aereos o maritimos. Archipielago.,Subsidio anual para pasajes aereos o maritimos y estadia fuera del archipielago. Residencia historica en Melinka o Guaitecas. Certificado presencial.,https://muniguaitecas.cl/,[OBLIGATORIO] Certificado de Residencia insular; [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Cedula de Identidad
Beca Municipal de Apoyo Estudiantil Visviri / General Lagos,Municipalidad de General Lagos,Beca de Mantencion Municipal,Aporte monetario anual para zona fronteriza,2026-03-01,2026-03-31,60,5.0,XV,Beca DIDECO General Lagos Visviri. Zona fronteriza.,Aporte anual para estudiantes de Visviri y alrededores. RSH 60-70%. Promedio 5.0.,https://www.mungenerallagos.cl/,[OBLIGATORIO] Certificado de Residencia visado; [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Alumno Regular; [OBLIGATORIO] Concentracion de notas
Beca Municipal de Educacion Superior Timaukel,Municipalidad de Timaukel,Beca de Mantencion Municipal,Asignacion unica anual de libre disposicion,2026-02-01,2026-03-31,60,5.0,XII,Beca DIDECO Timaukel. Tierra del Fuego rural.,Asignacion unica anual para estudiantes de esta comuna rural de Tierra del Fuego. CFT. IP o Ues fuera de la comuna. Promedio 5.0.,https://www.municipalidadtimaukel.cl/,[OBLIGATORIO] Formulario DIDECO de Timaukel; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Certificado de Notas; [OBLIGATORIO] RSH
