nombre,institucion,tipo_beca,monto,fecha_inicio,fecha_cierre,rsh_maximo,nem_minimo,regiones,descripcion,descripcion_larga,url,documentos_requeridos
Beca Municipalidad de Puchuncavi Ano 2026,Municipalidad de Puchuncavi,Beca de Mantencion Municipal,$50.000 mensuales (marzo-diciembre. $500.000 total anual),2026-03-10,2026-03-28,60,5.5,V,Beca DIDECO Puchuncavi de $50.000 mensuales. Presencial. No carreras a distancia.,Monto fijo de $50.000 mensuales pagados el ultimo dia habil de cada mes entre marzo y diciembre (total $500.000). Postulacion 10 al 28 de marzo. Resultados 20 de mayo. Excluyente: no financia carreras a distancia. virtuales o semi-presenciales. NEM 5.5 EM y 5.0 ES.,https://www.munipuchuncavi.cl/,[OBLIGATORIO] Declaracion de gastos mensuales; [OBLIGATORIO] Certificado mensual de Alumno Regular entregado presencialmente en DIDECO antes del dia 10 de cada mes; [OBLIGATORIO] Concentracion de notas
Beca Municipal Educacion Superior,Municipalidad de El Tabo,Beca de Mantencion Municipal,$350.000 pago unico por transferencia o Cuenta RUT,2026-01-01,2026-04-25,60,5.0,V,Beca DIDECO El Tabo de $350.000 pago unico.,Aporte unico de $350.000 depositado en una sola cuota via transferencia electronica o Cuenta RUT. Cierre 25 de abril. Promedio 4.5 universitario y 5.0 educacion tecnica superior. Incompatibilidad con beca del Estado completa.,https://eltabo.cl/,[OBLIGATORIO] Notas del primer y segundo semestre del ano anterior o Certificado Anual de Estudios; [OBLIGATORIO] Formulario de postulacion municipal
Beca Educacion Superior,Municipalidad de Cartagena,Beca de Mantencion Municipal,Aporte monetario anual segun presupuesto DIDECO,2026-03-01,2026-03-31,80,5.5,V,Beca DIDECO Cartagena. 5 anos residencia. RSH 40-80%.,Aporte monetario anual. Residencia comprobable de minimo 5 anos en Cartagena. RSH estrictamente entre 40% y 80%. NEM 5.5 EM y 5.0 ES. Excluyente: no contar con titulo tecnico o profesional previo.,https://municipalidadcartagena.cl/,[OBLIGATORIO] Cedula de Identidad por ambos lados; [OBLIGATORIO] Certificado de Alumno Regular validado con firma y timbre digital; [OBLIGATORIO] Certificado de notas original; [OBLIGATORIO] Documentos de respaldo de ingresos mensuales
Beca Municipal de Educacion Superior,Municipalidad de La Cruz,Beca de Mantencion Municipal,$300.000 (Universidades) o $150.000 (Tecnica) en 2 cuotas semestrales,2026-01-20,2026-02-07,60,5.0,V,Beca DIDECO La Cruz con montos diferenciados: $300.000 Ues y $150.000 Tecnica.,Asignacion en dos cuotas semestrales: $300.000 para universidades y $150.000 para ensenanza tecnica. Postulacion online 20 enero al 7 febrero. Excluyente: no pueden postular estudiantes con mas de dos ramos reprobados el ultimo semestre.,https://lacruz.cl/,[OBLIGATORIO] Formulario online completado; [OBLIGATORIO] Certificado de notas ultimo semestre cursado; [OBLIGATORIO] Certificado alumno regular vigente
Beca Educacion Superior Santo Domingo,Municipalidad de Santo Domingo,Beca de Mantencion Municipal,Asignacion presupuestaria variable. Incluye becas paralelas.,2026-02-01,2026-03-31,60,5.0,V,Beca DIDECO Santo Domingo. Tambien canaliza BPR.,Beneficio de asignacion presupuestaria variable. La comuna incluye becas paralelas como Beca educacion superior hijo/a de jardinero. Tambien opera como canalizador de la Beca Presidente de la Republica.,https://santodomingo.cl/,[OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de Notas; [OBLIGATORIO] Liquidaciones de sueldo de Octubre. Noviembre y Diciembre del jefe de hogar
Beca Municipal de Educacion Superior Algarrobo,Municipalidad de Algarrobo,Beca de Mantencion Municipal,Aporte monetario segun decreto presupuestario anual DIDECO,2026-03-01,2026-03-31,60,5.0,V,Beca DIDECO Algarrobo de aporte segun presupuesto anual.,Aporte monetario sujeto al decreto presupuestario anual de DIDECO. RSH prioritario. Promedio minimo 5.0.,https://www.municipalidadalgarrobo.cl/,[OBLIGATORIO] Cartola RSH en la comuna; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Concentracion de notas del ano anterior
Beca Municipal Educacion Superior Quilpue,Municipalidad de Quilpue,Beca de Mantencion Municipal,Subsidio de asignacion presupuestaria por departamento social,2026-03-01,2026-03-31,60,5.0,V,Beca DIDECO Quilpue (Provincia de Marga Marga) de subsidio.,Subsidio de asignacion presupuestaria por departamento social de la provincia de Marga Marga. RSH ajustado segun ordenanza del ano. Promedio minimo 5.0.,https://www.quilpue.cl/,[OBLIGATORIO] Certificado de Residencia; [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Certificado de Notas
Beca Municipal Educacion Superior Villa Alemana,Municipalidad de Villa Alemana,Beca de Mantencion Municipal,Aporte monetario anual bajo decreto. Becas paralelas disponibles.,2026-03-01,2026-03-31,60,5.0,V,Beca DIDECO Villa Alemana. Tambien subvenciona Beca Talento Deportivo.,Aporte monetario anual transferido bajo decreto a estudiantes de buen rendimiento. La comuna tambien maneja subvenciones paralelas como la Beca Talento Deportivo. RSH deficitario.,https://www.villalemana.cl/,[OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Concentracion de notas
Programa Beca Municipal (BM) Olmue,Municipalidad de Olmue,Beca de Mantencion Municipal,Aporte economico anual,2026-02-01,2026-03-31,60,5.0,V,Beca DIDECO Olmue de aporte economico anual.,Aporte economico anual para estudiantes de la comuna. RSH deficitario. Promedio minimo 5.0.,https://www.muniolmue.cl/,[OBLIGATORIO] Certificado de Residencia; [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Certificado de Notas
Beca Municipal de Educacion Superior Nogales,Municipalidad de Nogales,Beca de Mantencion Municipal,Subsidio economico anual regulado por DIDECO,2026-03-01,2026-03-31,60,5.0,V,Beca DIDECO Nogales de subsidio anual.,Subsidio economico anual regulado por DIDECO. RSH prioritario. Promedio minimo 5.0.,https://www.muninogales.cl/,[OBLIGATORIO] Formulario de postulacion; [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de alumno regular; [OBLIGATORIO] Concentracion de notas del ano anterior
