nombre,institucion,tipo_beca,monto,fecha_inicio,fecha_cierre,rsh_maximo,nem_minimo,regiones,descripcion,descripcion_larga,url,documentos_requeridos
Beca Municipal Educacion Superior San Ramon,Municipalidad de San Ramon,Beca de Mantencion Municipal,Aporte monetario anual,2026-03-01,2026-03-31,60,5.0,RM,Beca DIDECO San Ramon de aporte anual.,Aporte monetario anual segun decreto presupuestario DIDECO. RSH hasta 60%. Promedio minimo 5.0.,https://sanramon.cl/,[OBLIGATORIO] Cartola RSH en la comuna; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Concentracion de notas del ano anterior
Beca Municipal para Estudios Superiores La Granja,Municipalidad de La Granja,Beca de Mantencion Municipal,Subsidio economico anual en cuotas,2026-03-01,2026-03-31,60,5.0,RM,Beca DIDECO La Granja de subsidio en cuotas.,Subsidio economico anual asignado por el departamento social. RSH hasta 60%. Promedio minimo 5.0.,https://municipalidadlagranja.cl/,[OBLIGATORIO] Certificado de Residencia; [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Certificado de Notas
Beca Municipal Educacion Superior PAC,Municipalidad de Pedro Aguirre Cerda,Beca de Mantencion Municipal,Aporte anual por criterios sociales,2026-03-01,2026-03-31,60,5.0,RM,Beca DIDECO Pedro Aguirre Cerda de aporte anual.,Aporte anual para estudiantes en instituciones reconocidas por el Estado. RSH hasta 60%. Promedio minimo 5.0.,https://pedroaguirrecerda.cl/,[OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Concentracion de notas
Beca Municipal de Educacion Superior Lo Espejo,Municipalidad de Lo Espejo,Beca de Mantencion Municipal,Aporte monetario segun evaluacion y presupuesto DIDECO,2026-03-01,2026-03-31,60,5.0,RM,Beca DIDECO Lo Espejo de aporte segun evaluacion.,Aporte monetario sujeto a evaluacion y presupuesto DIDECO. RSH hasta 60%. Promedio minimo 5.0.,https://loespejo.cl/,[OBLIGATORIO] Certificado de residencia; [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Fotocopia de Cedula de Identidad
Beca Municipal Educacion Superior Conchali,Municipalidad de Conchali,Beca de Mantencion Municipal,Subsidio municipal de mantencion de libre disposicion,2026-03-01,2026-04-30,60,5.0,RM,Beca DIDECO Conchali de subsidio de mantencion.,Subsidio municipal de mantencion de libre disposicion. RSH hasta 60%. Promedio minimo 5.0.,https://conchali.cl/,[OBLIGATORIO] Cartola RSH en Conchali; [OBLIGATORIO] Concentracion de notas; [OBLIGATORIO] Certificado de Alumno Regular
Beca Municipal Educacion Superior Concon,Municipalidad de Concon,Beca de Mantencion Municipal,Monto de libre disposicion segun presupuesto anual,2026-02-01,2026-03-31,60,5.0,V,Beca DIDECO Concon de libre disposicion.,Monto de libre disposicion segun presupuesto municipal anual. RSH hasta 60%. Promedio minimo 5.0.,https://concon.cl/,[OBLIGATORIO] Certificado de residencia; [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Concentracion de notas
Beca Municipal de Educacion Superior La Ligua,Municipalidad de La Ligua,Beca de Mantencion Municipal,Aporte monetario anual,2026-03-01,2026-03-31,60,5.0,V,Beca DIDECO La Ligua de aporte anual.,Aporte monetario anual para estudiantes de la provincia. RSH hasta 60%. Promedio 5.0.,https://laligua.cl/,[OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Concentracion de notas; [OBLIGATORIO] Fotocopia de Cedula de Identidad
Beca Municipal Educacion Superior Illapel,Municipalidad de Illapel,Beca de Mantencion Municipal,Aporte economico anual para mantencion,2026-02-01,2026-03-31,60,5.0,IV,Beca DIDECO Illapel de aporte anual.,Aporte economico anual para mantencion de estudiantes. RSH hasta 60%. Promedio 5.0.,https://www.municipalidadillapel.cl/,[OBLIGATORIO] Certificado de Residencia; [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Certificado de Notas
Beca Municipal Educacion Superior Caldera,Municipalidad de Caldera,Beca de Mantencion Municipal,Aporte monetario anual segun decreto presupuestario,2026-03-01,2026-03-31,60,5.0,III,Beca DIDECO Caldera de aporte anual.,Aporte monetario anual regulado bajo decreto de presupuesto municipal. RSH hasta 60%. Promedio 5.0.,https://www.caldera.cl/,[OBLIGATORIO] Certificado de Residencia; [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Alumno Regular; [OBLIGATORIO] Concentracion de notas
Beca Municipal de Educacion Superior Tocopilla,Municipalidad de Tocopilla,Beca de Mantencion Municipal,Subsidio economico anual segun evaluacion y presupuesto DIDECO,2026-03-01,2026-03-31,60,5.0,II,Beca DIDECO Tocopilla de subsidio anual.,Subsidio economico anual sujeto a evaluacion socioeconomica y disponibilidad presupuestaria DIDECO. RSH prioritario. Promedio 5.0.,https://www.imtocopilla.cl/,[OBLIGATORIO] Formulario de postulacion; [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de alumno regular; [OBLIGATORIO] Concentracion de notas del ano anterior
