nombre,institucion,tipo_beca,monto,fecha_inicio,fecha_cierre,rsh_maximo,nem_minimo,regiones,descripcion,descripcion_larga,url,documentos_requeridos
Beca Municipal Educacion Superior Buin,Municipalidad de Buin,Beca de Mantencion Municipal,$150.000 en cuota unica por transferencia,2026-03-01,2026-04-30,60,5.0,RM,Beca DIDECO Buin de $150.000. Sin ramos reprobados.,Aporte de $150.000 en cuota unica. RSH 60%. Promedio 5.0 sin ramos reprobados el ultimo semestre. Evaluacion DIDECO en abril.,https://www.buin.cl/,[OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Concentracion de notas del ano anterior
Beca Municipal para la Educacion Superior Paine,Municipalidad de Paine,Beca de Mantencion Municipal,$200.000 en 2 cuotas de $100.000. Renovacion agosto.,2026-03-01,2026-04-15,60,5.0,RM,Beca DIDECO Paine de $200.000 en 2 cuotas. Segunda cuota requiere certificado agosto.,Asignacion de $200.000 en 2 cuotas de $100.000. Renovacion: certificado de alumno regular actualizado en agosto para segunda cuota.,https://www.paine.cl/,[OBLIGATORIO] Formulario Unico de Postulacion DIDECO; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Certificado de notas
Beca Municipal Educacion Superior Talagante,Municipalidad de Talagante,Beca de Mantencion Municipal,$150.000 deposito Cuenta RUT,2026-03-01,2026-03-31,70,5.0,RM,Beca DIDECO Talagante de $150.000. RSH 70%. No posgrado ni titulo > 8 semestres.,Aporte de $150.000 via Cuenta RUT. RSH 70%. No magister. diplomados ni titulo profesional de mas de 8 semestres.,https://talagante.cl/,[OBLIGATORIO] Certificado de Residencia o boleta de servicios; [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de Alumno Regular
Beca Municipal Estudiantil El Monte,Municipalidad de El Monte,Beca de Mantencion Municipal,$100.000 en 1 cuota,2026-03-15,2026-04-15,60,5.0,RM,Beca DIDECO El Monte de $100.000. RSH 60%.,Aporte de $100.000 en cuota unica a fines del primer semestre. RSH 60%. Promedio 5.0.,https://www.munielmonte.cl/,[OBLIGATORIO] Ficha Social DIDECO; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Concentracion de notas original
Beca de Educacion Superior Municipalidad de Penaflor,Municipalidad de Penaflor,Beca de Mantencion Municipal,$150.000 anuales,2026-03-01,2026-03-31,70,5.0,RM,Beca DIDECO Penaflor de $150.000. RSH 70%. Instituciones acreditadas.,Asignacion de $150.000. RSH 70%. Solo instituciones reconocidas por el Estado. excluye no acreditadas.,https://penaflor.cl/,[OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Fotocopia de Cedula de Identidad
Beca Municipal Educacion Superior Padre Hurtado,Municipalidad de Padre Hurtado,Beca de Mantencion Municipal,$200.000 por transferencia,2026-03-01,2026-04-15,60,5.0,RM,Beca DIDECO Padre Hurtado de $200.000. RSH 60%. Sin deudas municipales.,Monto de $200.000 via transferencia. RSH 60%. Promedio 5.0. Sin deudas ni rendiciones pendientes.,https://www.mph.cl/,[OBLIGATORIO] Certificado de Notas; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Acreditacion de ingresos familiares
Beca de Educacion Superior Isla de Maipo,Municipalidad de Isla de Maipo,Beca de Mantencion Municipal,$120.000 por Concejo,2026-03-01,2026-03-31,60,5.0,RM,Beca DIDECO Isla de Maipo de $120.000. No preuniversitario.,Aporte de $120.000 aprobado por Concejo. RSH en Isla de Maipo. Promedio 5.0. No preuniversitario.,https://islademaipo.cl/,[OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Concentracion de notas oficial
Beca Municipal de Apoyo a la Educacion Superior Colina,Municipalidad de Colina,Beca de Mantencion Municipal,Entre $300.000 y $400.000 anuales segun tramo social,2026-02-01,2026-03-31,60,5.0,RM,Beca DIDECO Colina de $300.000-$400.000. Tarjeta Vecino. Excluye Gratuidad total.,Asignacion de alto estandar entre $300.000 y $400.000 segun tramo social y nivel de estudios. Tarjeta Vecino Colina. Excluye Gratuidad total de arancel y mantencion.,https://www.colina.cl/,[OBLIGATORIO] Tarjeta Vecino Colina; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Certificado de Notas
Beca Municipal Educacion Superior Chiguayante,Municipalidad de Chiguayante,Beca de Mantencion Municipal,$150.000 en cuota unica,2026-03-01,2026-03-31,70,5.0,VIII,Beca DIDECO Chiguayante de $150.000. RSH 70%. Gran Concepcion.,Subsidio de $150.000 en cuota unica. RSH 70%. Promedio 5.0. Orientado a estudiantes que se trasladan dentro del Gran Concepcion.,https://www.chiguayante.cl/,[OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Concentracion de notas original
Beca de Mantencion Educacion Superior Hualpen,Municipalidad de Hualpen,Beca de Mantencion Municipal,$200.000 anuales por Concejo,2026-03-01,2026-03-31,60,5.0,VIII,Beca DIDECO Hualpen de $200.000. Plataforma digital. No carrera a distancia.,Aporte de $200.000 aprobado por Concejo Municipal. Entregas en DIDECO o plataforma digital. Promedio 5.0. No carreras a distancia o 100% online.,https://www.hualpenciudad.cl/,[OBLIGATORIO] Formulario Unico de Postulacion; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Certificado historico de notas
