nombre,institucion,tipo_beca,monto,fecha_inicio,fecha_cierre,rsh_maximo,nem_minimo,regiones,descripcion,descripcion_larga,url,documentos_requeridos
Beca Municipal de Educacion Superior Providencia,Municipalidad de Providencia,Beca de Arancel y Mantencion,Hasta 15 UTM anuales. Pago directo a institucion o alumno segun informe social.,2025-12-01,2026-01-31,60,5.0,RM,Beca DIDECO Providencia de hasta 15 UTM. Incompatible con Gratuidad 100%.,Tope maximo de 15 UTM anuales por beneficiario pagado a la institucion (arancel) o al alumno (mantencion). Tarjeta Vecino Providencia vigente. Residencia minima 2 anos. Excluye Gratuidad 100% o Becas Mineduc que cubran arancel total.,https://providencia.cl/,[OBLIGATORIO] Tarjeta Vecino; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Liquidaciones de sueldo y certificado de cotizaciones de los ultimos 12 meses de todos los adultos del hogar
Beca de Educacion Superior Las Condes,Municipalidad de Las Condes,Beca de Arancel y Mantencion,Hasta 50% del arancel anual o monto de libre disposicion,2026-02-01,2026-03-31,60,5.0,RM,Beca DIDECO Las Condes de hasta 50% del arancel. Tarjeta Vecino.,Asignacion escalonada segun nivel socioeconomico. Tope maximo 50% del arancel anual o monto de libre disposicion si vulnerabilidad extrema. Tarjeta Vecino Las Condes. Promedio 5.0 Ues y 4.5 CFT/IP.,https://www.lascondes.cl/,[OBLIGATORIO] Tarjeta Vecino Las Condes; [OBLIGATORIO] Malla curricular y arancel oficial de la carrera; [OBLIGATORIO] Declaracion Jurada de Ingresos
Beca Municipal de Educacion Superior Quilicura,Municipalidad de Quilicura,Beca de Mantencion Municipal,$150.000 anuales pago unico (500 cupos),2026-04-01,2026-04-30,70,5.0,RM,Beca DIDECO Quilicura de $150.000. 500 cupos. RSH 70%.,Monto fijo de $150.000 en cuota unica. 500 cupos. RSH 70%. Formulario online DIDECO. Certificado con QR o firma digital.,https://quilicura.cl/,[OBLIGATORIO] Formulario online de postulacion DIDECO; [OBLIGATORIO] Certificado de Alumno Regular oficial (QR o firma digital); [OBLIGATORIO] Cartola RSH
Beca Municipal Renca Orgullosa Educacion Superior,Municipalidad de Renca,Beca de Mantencion Municipal,$100.000 anuales por transferencia,2026-03-15,2026-04-07,60,5.0,RM,Beca DIDECO Renca Orgullosa de $100.000. Voluntariado obligatorio.,Aporte de $100.000 via transferencia. Obligatorio participar en al menos 1 jornada de voluntariado comunal o actividad de retribucion durante el ano. Promedio >= 5.0.,https://renca.cl/,[OBLIGATORIO] Carta de compromiso de voluntariado firmada; [OBLIGATORIO] Certificado de notas con promedio >= 5.0; [OBLIGATORIO] RSH
Beca Estudiantil Lampa (Educacion Superior),Municipalidad de Lampa,Beca de Mantencion y Transporte,$100.000 anuales en 2 cuotas de $50.000,2026-03-01,2026-03-31,60,5.0,RM,Beca DIDECO Lampa de $100.000 en 2 cuotas. Traslado a Santiago.,Subsidio anual en 2 cuotas de $50.000. Para estudiantes que se desplacen a Santiago Centro u otras comunas. RSH 60%. Sede de estudios indicada.,https://lampa.cl/,[OBLIGATORIO] Cartola RSH vigente en Lampa; [OBLIGATORIO] Certificado de Alumno Regular indicando sede; [OBLIGATORIO] Fotocopia de Cuenta RUT
Beca Ilustre Municipalidad de Limache,Municipalidad de Limache,Beca de Mantencion Municipal,$120.000 anuales en cuota unica (junio),2026-03-01,2026-03-31,70,5.0,V,Beca DIDECO Limache de $120.000. Pago en junio. Solo presencial. No online.,Aporte de $120.000 en cuota unica en junio tras aprobacion del Concejo. RSH 70%. Promedio 5.0. No carreras a distancia o 100% online. Prioriza gastos de presencialidad.,https://limache.cl/,[OBLIGATORIO] Formulario DIDECO de postulacion; [OBLIGATORIO] Certificado de Alumno Regular modalidad presencial; [OBLIGATORIO] Concentracion de notas
Beca Municipal de Educacion Superior Santa Cruz,Municipalidad de Santa Cruz,Beca de Mantencion Municipal,$150.000 anuales (100 mejores puntajes),2026-03-01,2026-04-15,60,5.0,VI,Beca DIDECO Santa Cruz de $150.000. 100 cupos. Ingresos propios < 1.5 IMM.,Asignacion de $150.000 limitada a los 100 mejores puntajes de evaluacion social y academica. Ingresos propios no superiores a 1.5 Ingresos Minimos Mensuales.,https://www.municipalidadsantacruz.cl/,[OBLIGATORIO] RSH domiciliado en Santa Cruz; [OBLIGATORIO] Certificado de notas originales; [OBLIGATORIO] Declaracion Jurada Simple de ingresos del postulante
Beca Municipal de Educacion Superior Tome,Municipalidad de Tome,Beca de Mantencion Municipal,Entre $100.000 y $150.000 en cuota unica,2026-03-01,2026-04-30,60,5.0,VIII,Beca DIDECO Tome. Gran Concepcion. No practica profesional.,Aporte de $100.000 a $150.000 en cuota unica. Orientado a estudiantes de Tome en Gran Concepcion. No se otorga en proceso de titulacion o practica profesional sin arancel regular.,https://www.tome.cl/,[OBLIGATORIO] Certificado de Residencia o boleta de servicios; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Certificado de notas
Beca Municipal de Apoyo a la Educacion Superior Cabo de Hornos,Municipalidad de Cabo de Hornos,Beca de Mantencion y Traslado Zona Extrema,Mas de $400.000. Traslado desde Puerto Williams al continente.,2026-03-01,2026-04-30,60,5.0,XII,Beca DIDECO Cabo de Hornos de $400.000+. Zona extrema. Puerto Williams.,Aporte unico de mas de $400.000 para traslado desde Puerto Williams al continente. Exigencia geografica: residencia en Cabo de Hornos y matricula fuera de la provincia Antartica.,https://www.municipalidadcabodehornos.cl/,[OBLIGATORIO] Certificado de Residencia emitido por autoridad local en Puerto Williams; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] RSH
Beca Municipal de Educacion Superior Empedrado,Municipalidad de Empedrado,Beca de Mantencion Municipal,$100.000 en 2 remesas de $50.000 (abril y septiembre),2026-03-01,2026-03-31,70,5.0,VII,Beca DIDECO Empedrado de $100.000 en 2 cuotas. Renovacion en agosto.,Monto total de $100.000 en 2 remesas de $50.000 (abril y septiembre). RSH 70%. Promedio 5.0. Renovacion obligatoria de certificado en agosto para segunda remesa.,https://www.empedrado.cl/,[OBLIGATORIO] Formulario Unico de Postulacion; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Concentracion de Notas
