nombre,institucion,tipo_beca,monto,fecha_inicio,fecha_cierre,rsh_maximo,nem_minimo,regiones,descripcion,descripcion_larga,url,documentos_requeridos
Beca Municipal Dr. Joaquin Contreras Silva 2026,Municipalidad de Requinoa,Beca de Mantencion Municipal,$200.000 para Educacion Superior (55 cupos),2026-03-30,2026-04-10,60,5.5,VI,Beca DIDECO Requinoa de $200.000. 55 cupos. NEM 5.5.,Monto exacto de $200.000 para Educacion Superior. Limitado a 55 cupos en 2026. Postulacion 30 mar al 10 abr. Evaluacion hasta 6 may. Ceremonia de entrega 25 may. NEM minimo estricto 5.5 del ano 2025.,https://requinoa.cl/,[OBLIGATORIO] Formulario de postulacion (Anexo 1); [OBLIGATORIO] Certificado alumno regular 2026; [OBLIGATORIO] Concentracion de notas 2025; [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Declaracion de gastos (Anexo 2); [OBLIGATORIO] Certificado de Cuenta RUT (Anexo 3)
Programa Ayuda Municipal a Estudiantes Educacion Superior,Municipalidad de Donihue,Beca de Mantencion Municipal,Pago fraccionado en 10 cuotas mensuales (marzo a diciembre),2026-02-09,2026-03-20,60,5.0,VI,Beca DIDECO Donihue en 10 cuotas. APP municipal. Egresados 2019-2024.,Pago fraccionado en 10 cuotas iguales de marzo a diciembre. RSH hasta 60%. Egresados de 4to medio entre 2019 y 2024. Renovantes: no reprobar mas de una asignatura. Una sola carrera. Postulacion APP municipal o presencial.,https://www.mdonihue.cl/,[OBLIGATORIO] Fotocopia Cedula Identidad del grupo familiar; [OBLIGATORIO] Fotocopia Cuenta RUT; [OBLIGATORIO] Certificado Notas original; [OBLIGATORIO] Certificado alumno regular de hermanos que estudien
Beca Municipal de Educacion Superior,Municipalidad de Machali,Beca de Mantencion Municipal,Beneficio de apoyo economico anual,2026-03-14,2026-04-10,60,5.5,VI,Beca DIDECO Machali. NEM 5.5 EM sin ramos reprobados.,Beneficio de apoyo economico anual. Postulacion 14 mar al 10 abr. NEM 5.5 para egresados de 4to medio y 5.0 ES sin ramos reprobados. Entrega presencial oficinas DIDECO.,https://www.machali.cl/,[OBLIGATORIO] ID vigente por ambos lados del postulante y grupo familiar; [OBLIGATORIO] Declaracion jurada de ingresos (si es informal); [OBLIGATORIO] Certificado Alumno Regular; [OBLIGATORIO] Formulario Social DIDECO; [OBLIGATORIO] Declaracion de gastos con al menos 3 boletas de servicios basicos
Beca de Estudio Graneros Nueva Ciudad,Municipalidad de Graneros,Beca de Mantencion Municipal,Aporte en 2 cuotas (marzo-julio y agosto-diciembre) via Cuenta RUT,2026-03-01,2026-03-04,70,5.5,VI,Beca DIDECO Graneros Nueva Ciudad en 2 cuotas. RSH 0-70%.,Aporte de libre disposicion en 2 cuotas (marzo-julio y agosto-diciembre) depositado en Cuenta RUT. RSH 0 al 70%. Incompatibilidad absoluta con BPR y Beca Indigena. NEM 5.5 EM o 5.0/60% ramos ES.,https://municipalidadgraneros.cl/,[OBLIGATORIO] Certificacion RSH del grupo familiar; [OBLIGATORIO] Concentracion de notas; [OBLIGATORIO] Certificado de Alumno Regular
Beca Municipal Excelencia y Beca Estimulo Ensenanza Superior,Municipalidad de San Vicente de Tagua Tagua,Beca de Mantencion Municipal,Asignaciones paralelas para estudiantes sobresalientes y vulnerables,2026-02-01,2026-03-31,60,5.0,VI,Beca DIDECO San Vicente. Beca Excelencia (rendimiento) o Beca Estimulo (vulnerabilidad).,Asignaciones paralelas: Beca Excelencia para rendimiento sobresaliente y Beca Estimulo exclusiva para alumnos vulnerables. Postulacion 1 feb al 31 mar via plataforma digital convocatorias.municipalidadsanvicente.cl.,https://www.municipalidadsanvicente.cl/,[OBLIGATORIO] Documentacion escaneada para postulacion en plataforma digital convocatorias.municipalidadsanvicente.cl
Beca Municipal Estudiantil,Municipalidad de Coltauco,Beca de Mantencion Municipal,Monto anual definido por decreto alcaldicio en 1 sola cuota,2026-03-01,2026-03-31,80,5.0,VI,Beca DIDECO Coltauco en 1 cuota. RSH 80%. No distancia ni titulo previo.,Monto anual pagado en una sola cuota por transferencia electronica. RSH hasta el 80%. Exclusiones: carreras a distancia/virtuales. titulo profesional previo. Beca Vocacion de Profesor.,https://www.coltauco.cl/,[OBLIGATORIO] Fotocopia Cedula Identidad; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Certificado Notas ultimo semestre academico
Beca Municipal de Educacion Superior,Municipalidad de Pirque,Beca de Mantencion Municipal,Subsidio de apoyo economico anual,2026-03-01,2026-08-30,60,5.0,RM,Beca DIDECO Pirque. Renovacion antes del 30 ago para segundo semestre.,Subsidio de apoyo economico anual depositado de forma directa. Renovacion estricta exigida antes del 30 ago 2026 para asegurar pago del segundo semestre. Notas primer semestre fisicas en Trabajo Social.,https://www.pirque.cl/,[OBLIGATORIO] Certificado de Alumno Regular vigente; [OBLIGATORIO] Concentracion de notas del primer semestre entregadas fisicamente en Trabajo Social
Beca Municipal Capital del Mimbre,Municipalidad de Chimbarongo,Beca de Mantencion Municipal,Aporte en cuotas mensuales regulado por decreto DIDECO,2026-03-01,2026-05-13,60,5.0,VI,Beca DIDECO Chimbarongo Capital del Mimbre. Cupo artesanos.,Aporte pagado en cuotas mensuales. Incompatibilidad: no pertenecer a colegios particulares o subvencionados. no poseer Beca Indigena ni BPR. Promedio anual 5.0. Cupo especial para hijos de artesanos del mimbre.,https://www.municipalidadchimbarongo.com/,[OBLIGATORIO] Acreditacion situacion socioeconomica deficitaria; [OBLIGATORIO] Certificado de nacimiento y certificacion de fomento productivo (solo cupo artesanos)
Beca Municipal de Educacion Superior,Municipalidad de Peumo,Beca de Mantencion Municipal,Aporte economico anual para continuidad de estudios,2026-05-01,2026-05-31,60,5.0,VI,Beca DIDECO Peumo de aporte anual.,Aporte economico anual para apoyar la continuidad de estudios. Proceso convocado mediante departamento social en mayo 2026.,https://mpeumo.cl/,[OBLIGATORIO] Certificado de matricula; [OBLIGATORIO] Certificado de alumno/a regular; [OBLIGATORIO] RSH; [OBLIGATORIO] Fotocopia de cedula de identidad
Beca Municipal de Educacion Superior,Municipalidad de Molina,Beca de Mantencion Municipal,Aporte economico de libre disposicion para alumnos nuevos,2026-05-01,2026-05-31,60,5.0,VII,Beca DIDECO Molina para alumnos nuevos que ingresan por primera vez a ES.,Aporte economico municipal de libre disposicion enfocado exclusivamente en alumnos nuevos que ingresan por primera vez a la educacion superior (Ues. IP o CFT) en el ano en curso. Entregas adjudicadas en mayo 2026.,https://web.molina.cl/,[OBLIGATORIO] Certificado de Alumno Regular de primer ano; [OBLIGATORIO] Cartola RSH
