nombre,institucion,tipo_beca,monto,fecha_inicio,fecha_cierre,rsh_maximo,nem_minimo,regiones,descripcion,descripcion_larga,url,documentos_requeridos
Beca Municipal Heriberto Hott Contreras 2025/2026,Municipalidad de Puyehue,Beca de Mantencion Municipal,$350.000 pago unico (160 cupos. pto $56.000.000),2026-08-07,2026-08-22,60,5.0,X,Beca Heriberto Hott de Puyehue. $350.000. 160 cupos. Ingreso per capita < $278.000. Incompatible Indigena/BPR.,Monto de $350.000 en cuota unica. 160 cupos con pto de $56.000.000. Postulacion ago. Ingreso per capita <= $278.000. NEM 5.0. Incompatible con Beca Indigena. BPR y Beca Deportiva Municipal. Acepta estudiantes en practica profesional.,https://municipalidaddepuyehue.cl/,[OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Concentracion de notas; [OBLIGATORIO] RSH
Beca de Educacion Superior Municipal,Municipalidad de Curaco de Velez,Beca de Mantencion Municipal,$400.000 en 10 cuotas de $40.000. Maximo 2 anos.,2026-03-01,2026-03-19,60,4.0,X,Beca DIDECO Curaco de Velez de $400.000. Exclusivo Liceo Alfredo Barria. NEM 4.0.,Monto de $400.000 en 10 cuotas de $40.000. Renovable maximo 2 anos. Exclusivo egresados Liceo Alfredo Barria. Promedio sobre 4.0.,https://curacodevelez.cl/,[OBLIGATORIO] Certificado de egreso del Liceo Alfredo Barria; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Notas
Beca Municipal de Educacion Superior 2026,Municipalidad de Portezuelo,Beca de Mantencion Municipal,$200.000 en 4 cuotas (170+ becas. pto $37.000.000),2026-03-01,2026-03-31,70,5.0,XVI,Beca DIDECO Portezuelo de $200.000. RSH 70%. NEM 5.0 nuevo/4.5 renovante.,Aporte de $200.000 en 4 cuotas. 170+ becas con pto $37.000.000. Cierre 31 mar via web o presencial O'Higgins 403. RSH 70%. NEM 5.0 nuevo y 4.5 renovante.,https://mportezuelo.cl/,[OBLIGATORIO] Solicitud formal dirigida al alcalde; [OBLIGATORIO] Declaracion jurada simple si menor de 18 anos; [OBLIGATORIO] Certificado de matricula
Beca Residencia Estudiantil Ranquil,Municipalidad de Ranquil,Beca de Arriendo y Mantencion,Hasta $1.000.000 anuales en 10 cuotas de $100.000 (20 cupos),2026-03-01,2026-04-30,60,5.0,XVI,Beca de Arriendo Ranquil de hasta $1.000.000. 20 cupos. Contrato de arriendo obligatorio.,Monto de hasta $1.000.000 en 10 cuotas de $100.000. Cupo extremadamente limitado a 20 estudiantes. Contrato de arriendo o pension fuera de domicilio de origen obligatorio.,http://www.mranquil.cl/,[OBLIGATORIO] Contrato de arriendo o documento de pension/residencia; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] RSH de Ranquil
Beca Municipal para Educacion Superior 2026,Municipalidad de Chillan Viejo,Beca de Mantencion Municipal,$210.000 en cuota unica (400 cupos),2026-02-15,2026-03-31,60,5.0,XVI,Beca DIDECO Chillan Viejo de $210.000. 400 cupos. Bases feb.,Monto de $210.000 en cuota unica con 400 cupos. Bases 2026 abren segunda quincena febrero. Instituciones reconocidas.,https://chillanviejo.cl/,[OBLIGATORIO] Fotocopia de la Cedula de Identidad; [OBLIGATORIO] Certificado de notas; [OBLIGATORIO] Certificado de Alumno Regular
Beca Ilustre Municipalidad de Rio Verde,Municipalidad de Rio Verde,Beca de Mantencion Municipal,Aporte anual por Depto Social DIDECO,2026-03-01,2026-08-31,60,5.0,XII,Beca DIDECO Rio Verde. Renovacion ago a becas@rioverde.cl. No practicas.,Aporte anual por Depto Social. Continuidad obligatoria ultima semana ago enviando certificado a becas@rioverde.cl. NO rige para practicas escolares. tecnico profesionales ni profesionales universitarias.,https://www.rioverde.cl/,[OBLIGATORIO] Certificado actualizado al correo becas@rioverde.cl para segundo semestre
Beca Municipal Quemchi y Beca Pescadores Artesanales,Municipalidad de Quemchi,Beca de Mantencion Municipal,Aporte unico por cheque,2026-03-18,2026-04-12,60,5.8,X,Beca DIDECO Quemchi. NEM 5.8 basica/5.5 media. Rendicion antes 15 dic o 2 anos inhabilitado.,Aporte unico por cheque. Postulacion 18 mar-12 abr (8:30-14:00). NEM 5.8 basica y 5.5 media. Rendicion beca anterior antes del 15 dic o inhabilitado 2 anos. Mayor 18 sin trabajo: 12 cotizaciones en 0.,https://www.muniquemchi.cl/,[OBLIGATORIO] Fotocopia CI (si vencido comprobante retiro Registro Civil); [OBLIGATORIO] Mayor 18 sin estudio ni trabajo: certificado 12 cotizaciones en 0
Beca Municipal de Ninhue,Municipalidad de Ninhue,Beca de Mantencion Municipal,Asignacion anual de libre disposicion,2026-03-01,2026-03-31,60,5.5,XVI,Beca DIDECO Ninhue. NEM 5.5 EM/4.3 Ues/5.0 CFT. Actividad social obligatoria.,Asignacion anual. NEM 5.5 EM. Renovantes Ues 4.3 y CFT/IP 5.0 (max 1 reprobado). Disponibilidad obligatoria para actividad municipal social/comunitaria.,https://muncipalidadninhue.cl/,[OBLIGATORIO] Certificado de notas; [OBLIGATORIO] Certificado de matricula o alumno regular; [OBLIGATORIO] RSH en Ninhue
Aporte Economico Educacion Superior 2026,Municipalidad de Collipulli,Beca de Mantencion Municipal,Aporte de uso libre segun presupuesto,2026-03-01,2026-05-11,60,5.0,IX,Beca DIDECO Collipulli. Hasta 11 may 2026. Av. Saavedra Sur 1355. Ponderacion dif. Tecnica/Universitaria.,Aporte economico de uso libre. Recepcion hasta 11 may 2026 en Programa de Jovenes (Av. Saavedra Sur 1355. 8:30-14:00). Ponderacion diferenciada por tipo de carrera. Cuenta bancaria a nombre del alumno obligatoria.,https://municipalidadcollipulli.cl/,[OBLIGATORIO] Formulario Unico con declaracion de vulnerabilidad; [OBLIGATORIO] Cedula de identidad vigente; [OBLIGATORIO] Certificado de matricula con cuenta bancaria a nombre del alumno
Programa Beca de Movilizacion,Municipalidad de Renaico,Beca de Movilidad,Monto mensual para pasajes de traslado continuo,2026-03-01,2026-03-31,60,5.0,IX,Beca de Movilizacion Renaico. Exclusivo traslado diario/semanal a ciudades aledanas.,Dinero mensual para pasajes. Exclusivo para estudiantes que cursan carrera en ciudades aledanas y deben trasladarse diaria o semanalmente desde Renaico.,https://municipalidadrenaico.cl/,[OBLIGATORIO] Certificado de Alumno Regular indicando sede y ciudad; [OBLIGATORIO] Concentracion de Notas; [OBLIGATORIO] Cartola RSH
