nombre,institucion,tipo_beca,monto,fecha_inicio,fecha_cierre,rsh_maximo,nem_minimo,regiones,descripcion,descripcion_larga,url,documentos_requeridos
Beca Municipal de Educacion Superior Archipielago Juan Fernandez,Municipalidad de Juan Fernandez,Beca de Traslado y Mantencion Zona Extrema Insular,$400.000 anuales,2026-03-01,2026-04-15,60,5.0,V,Beca DIDECO Juan Fernandez de $400.000. Archipielago. Traslado al continente.,Monto de $400.000 para mitigar costo de vida de jovenes islenos que deben trasladarse a Valparaiso u otras ciudades del continente. Residencia historica en el archipielago. Carreras minimo 4 semestres.,https://www.comunajuanfernandez.cl/,[OBLIGATORIO] Certificado de Residencia insular; [OBLIGATORIO] Certificado de Alumno Regular en el continente; [OBLIGATORIO] RSH
Beca Municipal Educacion Superior Alhue,Municipalidad de Alhue,Beca de Mantencion Municipal,$150.000 en cuota unica por transferencia,2026-03-01,2026-03-31,70,5.0,RM,Beca DIDECO Alhue de $150.000. RSH 70%. Traslado a Melipilla o Santiago.,Monto de $150.000 en cuota unica. RSH 70%. Estudiante debe trasladarse fuera de Alhue (Melipilla o Santiago).,https://alhue.cl/,[OBLIGATORIO] Formulario Unico de Postulacion DIDECO; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Cartola RSH
Beca de Educacion Superior Ilustre Municipalidad de Zapallar,Municipalidad de Zapallar,Beca de Mantencion Municipal,Hasta $300.000 anuales segun tramo y merito,2026-03-01,2026-03-31,60,5.5,V,Beca DIDECO Zapallar de hasta $300.000. 2 anos residencia. NEM 5.5 EM.,Tope maximo de $300.000 segun tramo de vulnerabilidad y merito academico. Residencia minima 2 anos en Zapallar. NEM 5.5 EM y 5.0 Ues.,https://www.munizapallar.cl/,[OBLIGATORIO] Certificado historico de residencia; [OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Concentracion de Notas; [OBLIGATORIO] Certificado de Alumno Regular
Beca Municipal Estudiantil Maria Pinto,Municipalidad de Maria Pinto,Beca de Mantencion Municipal,$120.000 por transferencia a Cuenta RUT,2026-03-15,2026-04-15,60,5.0,RM,Beca DIDECO Maria Pinto de $120.000. Carta manuscrita al Alcalde.,Aporte de $120.000 via Cuenta RUT. RSH 60%. Requisito unico: carta manuscrita dirigida al Alcalde y Concejo Municipal explicando motivos de la solicitud.,https://www.mpinto.cl/,[OBLIGATORIO] Carta de solicitud manuscrita; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Certificado de Notas; [OBLIGATORIO] RSH
Beca Municipal de Educacion Superior Paredones,Municipalidad de Paredones,Beca de Mantencion Municipal,$200.000 en 2 cuotas de $100.000. Renovacion agosto.,2026-03-01,2026-08-31,70,5.0,VI,Beca DIDECO Paredones de $200.000. RSH 70%. Segunda cuota requiere certificado agosto.,Monto de $200.000 en 2 cuotas semestrales de $100.000. RSH 70%. Para segunda cuota entregar certificado de alumno regular en DIDECO en agosto.,https://muparedones.cl/,[OBLIGATORIO] Ficha Social DIDECO; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Concentracion de notas original
Beca Municipal Estudiantil Pumanque,Municipalidad de Pumanque,Beca de Mantencion Municipal,$150.000 en 1 remesa,2026-03-01,2026-03-31,60,5.0,VI,Beca DIDECO Pumanque de $150.000. No otra beca de mantencion 100%.,Aporte de $150.000 en una remesa. RSH deficitario. NEM 5.0. No tener otra beca de mantencion estatal que cubra el 100% de gastos.,https://www.munipumanque.cl/,[OBLIGATORIO] Certificado de Notas; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Cartola RSH
Beca Municipal de Apoyo a la Educacion Superior Quilleco,Municipalidad de Quilleco,Beca de Mantencion Municipal,$150.000 en cuota unica por deposito bancario,2026-03-01,2026-04-15,60,5.0,VIII,Beca DIDECO Quilleco de $150.000. Cuenta RUT a nombre del alumno.,Subsidio de $150.000 en cuota unica. RSH 60%. Exigencia: Cuenta RUT activa a nombre del alumno. no se aceptan cuentas de terceros.,https://www.muniquilleco.cl/,[OBLIGATORIO] Fotocopia de Cedula de Identidad; [OBLIGATORIO] Fotocopia de tarjeta Cuenta RUT; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] RSH
Beca Municipal Educacion Superior Antuco,Municipalidad de Antuco,Beca de Mantencion Municipal,$100.000 anuales,2026-03-01,2026-03-31,60,5.0,VIII,Beca DIDECO Antuco de $100.000. Los Angeles u otras zonas.,Monto de $100.000 anuales. Jovenes de Antuco que estudian en IP. CFT o Ues en Los Angeles u otras zonas. Promedio 5.0.,https://www.muniantuco.cl/,[OBLIGATORIO] Certificado de Residencia o boleta de servicios; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Certificado de notas
Beca Municipal Educacion Superior Perquenco,Municipalidad de Perquenco,Beca de Mantencion Municipal,$150.000 anuales por evaluacion social,2026-03-01,2026-03-31,70,5.0,IX,Beca DIDECO Perquenco de $150.000. RSH 70%. No preuniversitario ni posgrado.,Aporte de $150.000 por departamento social. RSH 70%. Recepcion 8:30-14:00 en DIDECO. No preuniversitario. posgrados ni capacitaciones sin titulo.,https://perquenco.cl/,[OBLIGATORIO] Cartola RSH; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Concentracion de notas original
Beca Municipal Estudiantil Galvarino,Municipalidad de Galvarino,Beca de Mantencion Municipal,$120.000 anuales,2026-03-01,2026-03-31,60,5.0,IX,Beca DIDECO Galvarino de $120.000. Sin ramos reprobados.,Asignacion de $120.000 para educacion superior tecnica o universitaria. RSH 60%. Promedio 5.0 sin ramos reprobados.,https://galvarino.cl/,[OBLIGATORIO] Formulario Unico de Postulacion DIDECO; [OBLIGATORIO] Certificado de Alumno Regular; [OBLIGATORIO] Certificado historico de notas
